org_row,route_id,direction_id,date,stop_id,on_time_rate,schedule_waiting_time,actual_waiting_time,excess_waiting_time
36929,75,1,20210911,6354,0.29411764705882354,"[5.0223097112860895, 7.0]","[6.96811949540719, 7.0]","[1.9458097841211002, 0.0]"
36929,75,1,20210918,6354,0.5490196078431373,"[5.0223097112860895, 7.0]","[5.3410406891141715, 4.998991666666673]","[0.318730977828082, -2.001008333333327]"
36930,75,1,20210911,6355F,0.3333333333333333,"[5.0223097112860895, 7.0]","[7.400680207806894, 7.362775000000086]","[2.3783704965208043, 0.3627750000000862]"
36930,75,1,20210918,6355F,0.45098039215686275,"[5.0223097112860895, 7.0]","[5.630967413912268, 4.232683333333261]","[0.6086577026261786, -2.767316666666739]"
36931,75,1,20210911,6356F,0.35294117647058826,"[5.0223097112860895, 7.0]","[6.867484480224715, 7.356800000000051]","[1.8451747689386258, 0.3568000000000513]"
36931,75,1,20210918,6356F,0.5098039215686274,"[5.0223097112860895, 7.0]","[5.64590314748288, 3.731749999999981]","[0.6235934361967903, -3.268250000000019]"
36932,75,1,20210911,6357F,0.4117647058823529,"[5.0223097112860895, 7.0]","[7.400187658788204, 0]","[2.377877947502115, -7.0]"
36932,75,1,20210918,6357F,0.43137254901960786,"[5.0223097112860895, 7.0]","[6.03846212300302, 7.0]","[1.0161524117169307, 0.0]"
36933,75,1,20210911,6434F,0.35294117647058826,"[5.0223097112860895, 7.0]","[9.48185643554288, 7.0]","[4.459546724256791, 0.0]"
36933,75,1,20210918,6434F,0.3333333333333333,"[5.0223097112860895, 7.0]","[5.457521959212532, 3.20606666666669]","[0.43521224792644286, -3.79393333333331]"
36934,75,1,20210911,6359F,0.29411764705882354,"[5.0223097112860895, 7.0]","[7.253791616278783, 7.0]","[2.2314819049926937, 0.0]"
36934,75,1,20210918,6359F,0.27450980392156865,"[5.0223097112860895, 7.0]","[6.438984473770755, 3.4731833333332665]","[1.4166747624846652, -3.5268166666667335]"
36935,75,1,20210911,6413F,0.29411764705882354,"[5.0223097112860895, 7.0]","[8.141934549012444, 6.785908333333404]","[3.119624837726354, -0.2140916666665964]"
36935,75,1,20210918,6413F,0.3137254901960784,"[5.0223097112860895, 7.0]","[5.8174404053630395, 3.718958333333406]","[0.79513069407695, -3.281041666666594]"
36936,75,1,20210911,6066G,0.3,"[5.092239099859354, 7.0]","[6.547013501682952, 7.0]","[1.454774401823598, 0.0]"
36936,75,1,20210918,6066G,0.36,"[5.092239099859354, 7.0]","[6.428824284777412, 3.4562333333332687]","[1.3365851849180581, -3.5437666666667313]"
36937,75,1,20210911,2726F,0.2830188679245283,"[5.019685039370079, 7.0]","[7.179847895585225, 6.741525000000062]","[2.1601628562151465, -0.2584749999999376]"
36937,75,1,20210918,2726F,0.3018867924528302,"[5.019685039370079, 7.0]","[6.6818254875026595, 3.44672500000003]","[1.6621404481325808, -3.55327499999997]"
36938,75,1,20210911,6179,0.22641509433962265,"[5.019685039370079, 7.0]","[10.650326133656247, 6.95658333333328]","[5.630641094286168, -0.04341666666671973]"
36938,75,1,20210918,6179,0.2641509433962264,"[5.019685039370079, 7.0]","[5.6972770865844655, 3.416008333333351]","[0.6775920472143868, -3.583991666666649]"
36939,75,1,20210911,2537F,0.20754716981132076,"[5.019685039370079, 7.0]","[6.858934916121501, 6.69032500000006]","[1.8392498767514223, -0.30967499999993997]"
