org_row,route_id,direction_id,date,stop_id,on_time_rate,schedule_waiting_time,actual_waiting_time,excess_waiting_time
20521,63,1,20210911,2908,0.15789473684210525,[6.279242174629324],[12.490512030929796],[6.211269856300472]
20521,63,1,20210918,2908,0.15789473684210525,[6.279242174629324],[9.184248017447551],[2.905005842818227]
20522,63,1,20210911,3176,0.15789473684210525,[6.279242174629324],[11.827148992285315],[5.54790681765599]
20522,63,1,20210918,3176,0.18421052631578946,[6.279242174629324],[9.135480172505936],[2.8562379978766117]
20523,63,1,20210911,5362,0.2619047619047619,[6.004273504273504],[10.116143877584486],[4.111870373310982]
20523,63,1,20210918,5362,0.19047619047619047,[6.004273504273504],[6.989288200555205],[0.9850146962817004]
20524,63,1,20210911,5048,0.21428571428571427,[6.004273504273504],[12.483444138505298],[6.479170634231794]
20524,63,1,20210918,5048,0.2619047619047619,[6.004273504273504],[7.88372554705062],[1.8794520427771158]
20525,63,1,20210911,3304,0.0975609756097561,[6.017188763370064],[12.730435014460799],[6.713246251090735]
20525,63,1,20210918,3304,0.36585365853658536,[6.017188763370064],[9.494683848560603],[3.4774950851905393]
20526,63,1,20210911,3305,0.12195121951219512,[6.004793771482136],[12.168593640254198],[6.163799868772061]
20526,63,1,20210918,3305,0.2926829268292683,[6.004793771482136],[7.939623331129677],[1.9348295596475404]
20527,63,1,20210911,3306,0.14634146341463414,[6.016708252472045],[9.652381337157895],[3.635673084685849]
20527,63,1,20210918,3306,0.3902439024390244,[6.016708252472045],[7.061495216902982],[1.0447869644309362]
20528,63,1,20210911,3307,0.24390243902439024,[6.004166666666666],[10.292485441905267],[4.288318775238601]
20528,63,1,20210918,3307,0.4146341463414634,[6.004166666666666],[7.56300773502299],[1.5588410683563234]
20529,63,1,20210911,2996,0.3170731707317073,[6.004166666666666],[8.603388412871702],[2.5992217462050355]
20529,63,1,20210918,2996,0.4146341463414634,[6.004166666666666],[7.171626644285392],[1.1674599776187256]
20530,63,1,20210911,2926,0.2682926829268293,[6.004166666666666],[11.094333458677243],[5.090166792010576]
20530,63,1,20210918,2926,0.34146341463414637,[6.004166666666666],[8.564130167210312],[2.5599635005436454]
20531,63,1,20210911,2915,0.21951219512195122,[6.004166666666666],[10.89096409102428],[4.8867974243576136]
20531,63,1,20210918,2915,0.34146341463414637,[6.004166666666666],[7.777513713717073],[1.7733470470504065]
20532,63,1,20210911,2916,0.1951219512195122,[6.004166666666666],[9.89769581161595],[3.8935291449492837]
20532,63,1,20210918,2916,0.43902439024390244,[6.004166666666666],[8.04549415146362],[2.0413274847969536]
20533,63,1,20210911,2917,0.36585365853658536,[6.004166666666666],[10.228640530777925],[4.224473864111259]
20533,63,1,20210918,2917,0.2682926829268293,[6.004166666666666],[7.821588309232342],[1.8174216425656757]
20534,63,1,20210911,3299,0.25,[6.0493625140291805],[10.161444167124568],[4.112081653095387]
20534,63,1,20210918,3299,0.3,[6.0493625140291805],[6.959812691977694],[0.9104501779485137]
20535,63,1,20210911,2051,0.175,[6.047479797979797],[9.688273646706138],[3.640793848726341]
20535,63,1,20210918,2051,0.325,[6.047479797979797],[7.5047353710118],[1.4572555730320031]
20536,63,1,20210911,3451,0.15,[6.0474753086419755],[11.567908456526089],[5.5204331478841135]
20536,63,1,20210918,3451,0.275,[6.0474753086419755],[8.468931156195174],[2.421455847553198]
20537,63,1,20210911,3412,0.15,[6.047474747474747],[10.244923308998677],[4.19744856152393]
20537,63,1,20210918,3412,0.25,[6.047474747474747],[10.039367825956296],[3.9918930784815485]
20538,63,1,20210911,2101,0.1,[6.047407968574635],[11.327775911220618],[5.280367942645983]
20538,63,1,20210918,2101,0.2,[6.047407968574635],[7.373004028442987],[1.325596059868352]
20539,63,1,20210911,6303B,0.075,[6.047342312008978],[12.526694048428855],[6.4793517364198765]
20539,63,1,20210918,6303B,0.25,[6.047342312008978],[7.441753229731315],[1.394410917722337]
20540,63,1,20210911,2792,0.125,[6.047277777777778],[11.397113603984172],[5.349835826206394]
20540,63,1,20210918,2792,0.2,[6.047277777777778],[7.6424707414795785],[1.5951929637018]
20541,63,1,20210911,2795,0.15,[6.045455106621773],[7.897006501076421],[1.8515513944546482]
20541,63,1,20210918,2795,0.2,[6.045455106621773],[8.799413043203376],[2.753957936581603]
20542,63,1,20210911,6411,0.225,[6.045454545454546],[10.855371865614194],[4.809917320159648]
20542,63,1,20210918,6411,0.25,[6.045454545454546],[8.584462895638962],[2.5390083501844165]
20543,63,1,20210911,5735,0.225,[6.045456790123456],[14.856406734224997],[8.81094994410154]
20543,63,1,20210918,5735,0.15,[6.045456790123456],[7.778154460966175],[1.732697670842719]
20544,63,1,20210911,6438,0.2,[6.045459595959596],[9.703670740150406],[3.65821114419081]
20544,63,1,20210918,6438,0.225,[6.045459595959596],[8.364342965622011],[2.318883369662416]
20545,63,1,20210911,6308,0.25,[6.045463524130191],[12.213398976260695],[6.1679354521305045]
20545,63,1,20210918,6308,0.3,[6.045463524130191],[7.9944262645109525],[1.948962740380762]
20546,63,1,20210911,3062,0.15,[6.047474747474747],[10.781105696787598],[4.733630949312851]
20546,63,1,20210918,3062,0.1,[6.047474747474747],[7.399119289623922],[1.3516445421491747]
20547,63,1,20210911,6442,0.175,[6.047474747474747],[10.982824116249565],[4.935349368774818]
20547,63,1,20210918,6442,0.175,[6.047474747474747],[7.142867944473867],[1.0953931969991197]
20548,63,1,20210911,2895,0.0,[7.4326923076923075],[11.162378996648188],[3.729686688955881]
20548,63,1,20210918,2895,0.2,[7.4326923076923075],[12.367907811502526],[4.935215503810219]
20549,63,1,20210911,5299,0.0,[7.4326923076923075],[0],[-7.4326923076923075]
20549,63,1,20210918,5299,0.0,[7.4326923076923075],[8.086694432491646],[0.6540021247993382]
20622,63,0,20210912,6445,0.625,[7.512889366272825],[10.24047262565201],[2.7275832593791858]
20623,63,0,20210912,3072,0.25,[7.512889366272825],[9.534050623766536],[2.021161257493711]
20624,63,0,20210912,3353,0.375,[7.512889366272825],[11.092216732019365],[3.57932736574654]
20625,63,0,20210912,3354,0.25,[7.512889366272825],[11.477360283341921],[3.9644709170690966]
20626,63,0,20210912,3355,0.5,[7.512889366272825],[11.513466271235744],[4.000576904962919]
20627,63,0,20210912,9060,0.5,[7.5127846401718585],[10.974765968282128],[3.4619813281102694]
20628,63,0,20210912,6435,0.375,[7.511815252416756],[9.55035763507997],[2.0385423826632145]
20629,63,0,20210912,6359,0.625,[7.511815252416756],[9.671564367595328],[2.159749115178572]
20630,63,0,20210912,6410,0.375,[7.511815252416756],[9.753858673946631],[2.242043421529875]
20631,63,0,20210912,2796,0.25,[7.512583916647272],[10.32834098045957],[2.815757063812298]
20632,63,0,20210912,2839,0.125,[7.504654319660235],[10.408997878746115],[2.9043435590858806]
20633,63,0,20210912,6364B,0.125,[7.50553922798466],[11.59211867514742],[4.08657944716276]
20634,63,0,20210912,2100,0.125,[7.5044250999086035],[12.874213235887508],[5.369788135978904]
20635,63,0,20210912,2102,0.08333333333333333,[7.496547756041427],[11.139819370499941],[3.6432716144585138]
20636,63,0,20210912,3414,0.16666666666666666,[7.496222205173449],[10.738379752737826],[3.2421575475643767]
20637,63,0,20210912,2067,0.16666666666666666,[7.487471598727623],[9.719282280558923],[2.2318106818313]
20638,63,0,20210912,6210,0.16666666666666666,[7.487039312825633],[9.310296097737112],[1.8232567849114787]
20639,63,0,20210912,2975,0.16666666666666666,[7.47923875432526],[9.139763671385433],[1.6605249170601732]
20640,63,0,20210912,2976,0.25,[7.47923875432526],[10.144085847236173],[2.6648470929109136]
20641,63,0,20210912,2977,0.25,[7.47923875432526],[10.741041746650286],[3.261802992325026]
20642,63,0,20210912,2990,0.16666666666666666,[7.478950235175003],[9.337774692644901],[1.8588244574698978]
20643,63,0,20210912,2997,0.16666666666666666,[7.4713835751767315],[8.72424590109229],[1.252862325915559]
20644,63,0,20210912,2980,0.16666666666666666,[7.471131639722864],[8.758727830382375],[1.287596190659511]
20645,63,0,20210912,3361,0.4166666666666667,[7.471131960482421],[9.521695632029257],[2.0505636715468354]
20646,63,0,20210912,3362,0.3333333333333333,[7.4721737875288685],[9.69384546240271],[2.221671674873841]
20647,63,0,20210912,6081B,0.08333333333333333,[7.472210674878112],[8.604677531852422],[1.1324668569743102]
20648,63,0,20210912,5361,0.3333333333333333,[7.472286374133949],[8.915130388875703],[1.4428440147417536]
20649,63,0,20210912,1283,0.4,[7.472286374133949],[10.344138171931133],[2.8718517977971842]
20650,63,0,20210912,2294B,0.35,[7.472286374133949],[10.00616075478713],[2.533874380653181]
20651,63,0,20210912,2987,0.5,[7.449612403100775],[9.776285257504554],[2.326672854403779]
20652,63,0,20210912,2986B,0.38461538461538464,[7.449612403100775],[9.486223503855568],[2.0366111007547927]
20653,63,0,20210912,2991,0.23076923076923078,[7.449612403100775],[14.077105078269268],[6.627492675168493]
20654,63,0,20210912,3042,0.19230769230769232,[7.439197930142303],[8.44734936105291],[1.0081514309106065]
20655,63,1,20210912,3042,0.125,"[7.5, 7.440972222222222]","[7.877998632867746, 6.681611331514298]","[0.3779986328677456, -0.7593608907079243]"
20656,63,1,20210912,9702,0.65625,"[7.5, 7.440972222222222]","[16.107525277497647, 13.2859224131342]","[8.607525277497647, 5.844950190911978]"
20657,63,1,20210912,9727,0.46875,"[7.5, 7.440972222222222]","[20.055468980877013, 16.344914171382253]","[12.555468980877013, 8.903941949160032]"
20658,63,1,20210912,9728,0.4375,"[7.5, 7.440972222222222]","[21.42969232715564, 8.79034987426684]","[13.929692327155639, 1.349377652044617]"
20659,63,1,20210912,9701,0.25,"[7.5, 7.440972222222222]","[13.02261889120997, 16.63172795704213]","[5.522618891209969, 9.19075573481991]"
20660,63,1,20210912,2888,0.125,"[7.5, 7.440972222222222]","[14.184337937176485, 10.849541529365618]","[6.684337937176485, 3.408569307143396]"
20661,63,1,20210912,2899,0.09375,"[7.5, 7.440972222222222]","[12.999834622647366, 10.917626089595297]","[5.4998346226473664, 3.4766538673730745]"
20662,63,1,20210912,2905,0.21875,"[7.5, 7.440972222222222]","[11.477903767456489, 11.537190959341357]","[3.977903767456489, 4.096218737119135]"
20663,63,1,20210912,2988,0.125,"[7.5, 7.440972222222222]","[17.870688150942694, 12.678694494201336]","[10.370688150942694, 5.237722271979114]"
20664,63,1,20210912,2292B,0.15625,"[7.5, 7.440972222222222]","[23.223745265749415, 10.621061582486865]","[15.723745265749415, 3.1800893602646427]"
20665,63,1,20210912,2908,0.09375,"[7.5, 7.440972222222222]","[19.550031420283865, 14.121095059318437]","[12.050031420283865, 6.6801228370962145]"
20666,63,1,20210912,3176,0.0625,"[7.5, 7.440972222222222]","[22.486306484538193, 13.118116859430753]","[14.986306484538193, 5.677144637208531]"
20667,63,1,20210912,5362,0.21212121212121213,"[7.5, 7.548192771084337]","[9.55551800939264, 7.747448071425544]","[2.0555180093926406, 0.19925530034120698]"
20668,63,1,20210912,5048,0.21212121212121213,"[7.517283950617284, 7.548192771084337]","[16.182708820737112, 9.36563794307744]","[8.665424870119828, 1.8174451719931026]"
20669,63,1,20210912,3304,0.2727272727272727,"[7.517283950617284, 7.548192771084337]","[12.68855792260015, 8.166227023367776]","[5.171273971982866, 0.6180342522834392]"
20670,63,1,20210912,3305,0.21212121212121213,"[7.517283950617284, 7.548192771084337]","[12.60633167437753, 9.25967941404189]","[5.089047723760246, 1.7114866429575537]"
20671,63,1,20210912,3306,0.3333333333333333,"[7.517283950617284, 7.548192771084337]","[11.70529932304577, 7.838781039049487]","[4.188015372428485, 0.29058826796515014]"
20672,63,1,20210912,3307,0.3333333333333333,"[7.517283950617284, 7.548192771084337]","[12.437765444229425, 12.070419787438889]","[4.920481493612141, 4.5222270163545515]"
20673,63,1,20210912,2996,0.29545454545454547,[7.517283950617284],[12.929416255271216],[5.412132304653931]
20674,63,1,20210912,2926,0.22727272727272727,[7.517283950617284],[15.621099337961942],[8.103815387344657]
20675,63,1,20210912,2915,0.22727272727272727,[7.517283950617284],[15.307418536779375],[7.7901345861620905]
20676,63,1,20210912,2916,0.3181818181818182,[7.517283950617284],[14.15453185273917],[6.637247902121886]
20677,63,1,20210912,2917,0.2727272727272727,[7.517283950617284],[10.977245425693287],[3.4599614750760024]
20678,63,1,20210912,3299,0.24,"[7.533794509675123, 7.52885250359321]","[9.28966768398425, 9.092186764251245]","[1.7558731743091274, 1.563334260658035]"
20679,63,1,20210912,2051,0.24,"[7.534938291875324, 7.527110774371526]","[13.66316280081286, 9.003811821342973]","[6.128224508937535, 1.4767010469714466]"
