org_row,route_id,direction_id,date,stop_id,on_time_rate,schedule_waiting_time,actual_waiting_time,excess_waiting_time
23108,24,1,20210917,4112,0.09090909090909091,"[3.1184649360014425, 3.087982832618026]","[6.146222242497729, 6.424748800285965]","[3.027757306496287, 3.336765967667939]"
23109,24,1,20210907,4105,0.19230769230769232,"[3.0547945205479454, 3.087982832618026]","[5.174119562377583, 6.342568786236129]","[2.1193250418296374, 3.2545859536181028]"
23109,24,1,20210908,4105,0.23076923076923078,"[3.0547945205479454, 3.087982832618026]","[11.412890292720103, 4.928672782360423]","[8.358095772172158, 1.8406899497423974]"
23109,24,1,20210909,4105,0.1282051282051282,"[3.0547945205479454, 3.087982832618026]","[6.868163309014764, 6.644949605476801]","[3.8133687884668186, 3.556966772858775]"
23109,24,1,20210910,4105,0.08974358974358974,"[3.0547945205479454, 3.087982832618026]","[8.42277264439245, 6.38301013197816]","[5.367978123844505, 3.2950272993601337]"
23109,24,1,20210913,4105,0.21794871794871795,"[3.0547945205479454, 3.087982832618026]","[5.755323895343444, 5.235117495510337]","[2.700529374795498, 2.1471346628923107]"
23109,24,1,20210914,4105,0.1794871794871795,"[3.0547945205479454, 3.087982832618026]","[5.324468205632959, 4.718684345270101]","[2.2696736850850137, 1.6307015126520752]"
23109,24,1,20210915,4105,0.1794871794871795,"[3.0547945205479454, 3.087982832618026]","[5.535891409289588, 5.477740686451181]","[2.481096888741643, 2.389757853833155]"
23109,24,1,20210916,4105,0.28205128205128205,"[3.0547945205479454, 3.087982832618026]","[4.827747917766744, 6.998313843852801]","[1.7729533972187985, 3.9103310112347756]"
23109,24,1,20210917,4105,0.16666666666666666,"[3.0547945205479454, 3.087982832618026]","[6.194177528841091, 7.791865333748267]","[3.1393830082931453, 4.703882501130241]"
23110,24,1,20210907,4106,0.16666666666666666,"[3.0547945205479454, 3.087425478132303]","[5.566979267366614, 7.327441187592174]","[2.5121847468186687, 4.240015709459871]"
23110,24,1,20210908,4106,0.20512820512820512,"[3.0547945205479454, 3.087425478132303]","[10.665587767674008, 5.423595741912376]","[7.610793247126063, 2.3361702637800725]"
23110,24,1,20210909,4106,0.15384615384615385,"[3.0547945205479454, 3.087425478132303]","[6.101808261252037, 5.838557303978615]","[3.0470137407040916, 2.751131825846312]"
23110,24,1,20210910,4106,0.11538461538461539,"[3.0547945205479454, 3.087425478132303]","[8.501652212207592, 6.779452630767811]","[5.4468576916596465, 3.692027152635508]"
23110,24,1,20210913,4106,0.23076923076923078,"[3.0547945205479454, 3.087425478132303]","[7.454177708495547, 5.999819830881074]","[4.399383187947602, 2.9123943527487706]"
23110,24,1,20210914,4106,0.19230769230769232,"[3.0547945205479454, 3.087425478132303]","[5.586274059611158, 4.92425845550467]","[2.5314795390632128, 1.8368329773723664]"
23110,24,1,20210915,4106,0.1794871794871795,"[3.0547945205479454, 3.087425478132303]","[5.755431839793895, 5.474070564933176]","[2.700637319245949, 2.386645086800873]"
23110,24,1,20210916,4106,0.3076923076923077,"[3.0547945205479454, 3.087425478132303]","[4.222750715674672, 6.8727144563244895]","[1.1679561951267265, 3.7852889781921863]"
23110,24,1,20210917,4106,0.15384615384615385,"[3.0547945205479454, 3.087425478132303]","[7.175590015631923, 12.330975603531945]","[4.120795495083978, 9.243550125399642]"
23111,24,1,20210907,4107,0.23076923076923078,"[3.0547945205479454, 3.0871485297274095]","[5.083278425144526, 5.798365895902275]","[2.0284839045965803, 2.711217366174865]"
23111,24,1,20210908,4107,0.1794871794871795,"[3.0547945205479454, 3.0871485297274095]","[9.652182534858808, 5.395078687319103]","[6.597388014310862, 2.3079301575916933]"
23111,24,1,20210909,4107,0.16666666666666666,"[3.0547945205479454, 3.0871485297274095]","[5.570319402896171, 5.968611898528279]","[2.5155248823482257, 2.881463368800869]"
23111,24,1,20210910,4107,0.16666666666666666,"[3.0547945205479454, 3.0871485297274095]","[6.935510441448428, 6.6622073390255245]","[3.8807159209004825, 3.575058809298115]"
23111,24,1,20210913,4107,0.23076923076923078,"[3.0547945205479454, 3.0871485297274095]","[10.24164287779866, 5.534098447241503]","[7.186848357250714, 2.446949917514093]"
23111,24,1,20210914,4107,0.24358974358974358,"[3.0547945205479454, 3.0871485297274095]","[5.636559092416715, 5.1562006330056365]","[2.58176457186877, 2.069052103278227]"
23111,24,1,20210915,4107,0.21794871794871795,"[3.0547945205479454, 3.0871485297274095]","[5.616501554981559, 5.712247170848935]","[2.5617070344336135, 2.625098641121525]"
23111,24,1,20210916,4107,0.358974358974359,"[3.0547945205479454, 3.0871485297274095]","[4.149946728198626, 6.016822248641166]","[1.0951522076506803, 2.9296737189137563]"
23111,24,1,20210917,4107,0.16666666666666666,"[3.0547945205479454, 3.0871485297274095]","[5.528090128738885, 5.0494627501075895]","[2.4732956081909396, 1.96231422038018]"
23112,24,1,20210907,4110,0.15384615384615385,"[3.0547945205479454, 3.0732758620689653]","[5.046423475055372, 5.949421986246424]","[1.9916289545074264, 2.876146124177459]"
23112,24,1,20210908,4110,0.15384615384615385,"[3.0547945205479454, 3.0732758620689653]","[9.96072557364303, 6.321186287477005]","[6.905931053095085, 3.2479104254080395]"
23112,24,1,20210909,4110,0.1794871794871795,"[3.0547945205479454, 3.0732758620689653]","[6.890550449758778, 6.128117928352086]","[3.8357559292108325, 3.054842066283121]"
23112,24,1,20210910,4110,0.1282051282051282,"[3.0547945205479454, 3.0732758620689653]","[5.564864719056147, 6.644172697057141]","[2.5100701985082017, 3.570896834988176]"
23112,24,1,20210913,4110,0.20512820512820512,"[3.0547945205479454, 3.0732758620689653]","[7.728728750130192, 5.285995411899821]","[4.673934229582247, 2.2127195498308554]"
23112,24,1,20210914,4110,0.16666666666666666,"[3.0547945205479454, 3.0732758620689653]","[5.669387729752218, 5.6623742246552204]","[2.6145932092042727, 2.589098362586255]"
23112,24,1,20210915,4110,0.14102564102564102,"[3.0547945205479454, 3.0732758620689653]","[6.027665022743196, 6.279657112803393]","[2.97287050219525, 3.2063812507344274]"
23112,24,1,20210916,4110,0.21794871794871795,"[3.0547945205479454, 3.0732758620689653]","[4.439075369466936, 9.135822230805026]","[1.3842808489189906, 6.062546368736061]"
23112,24,1,20210917,4110,0.15384615384615385,"[3.0547945205479454, 3.0732758620689653]","[5.91566360386899, 7.430907107407955]","[2.8608690833210444, 4.35763124533899]"
23113,24,1,20210907,2519,0.14285714285714285,"[3.0749473493100945, 3.0732758620689653]","[5.340569430801082, 5.979337848809184]","[2.2656220814909878, 2.9060619867402187]"
23113,24,1,20210908,2519,0.14285714285714285,"[3.0749473493100945, 3.0732758620689653]","[11.98635386771481, 5.457140399200393]","[8.911406518404714, 2.3838645371314273]"
23113,24,1,20210909,2519,0.18181818181818182,"[3.0749473493100945, 3.0732758620689653]","[7.296953468462847, 6.438201035237274]","[4.222006119152753, 3.3649251731683085]"
23113,24,1,20210910,2519,0.18181818181818182,"[3.0749473493100945, 3.0732758620689653]","[5.454202399700766, 6.466271354020091]","[2.3792550503906718, 3.392995491951126]"
23113,24,1,20210913,2519,0.2077922077922078,"[3.0749473493100945, 3.0732758620689653]","[8.428882205122314, 5.502522320771655]","[5.353934855812219, 2.42924645870269]"
23113,24,1,20210914,2519,0.19480519480519481,"[3.0749473493100945, 3.0732758620689653]","[5.422839812201172, 5.349586804396406]","[2.3478924628910773, 2.2763109423274406]"
23113,24,1,20210915,2519,0.15584415584415584,"[3.0749473493100945, 3.0732758620689653]","[6.125992460604617, 5.276859241849678]","[3.0510451112945223, 2.2035833797807127]"
23113,24,1,20210916,2519,0.2857142857142857,"[3.0749473493100945, 3.0732758620689653]","[4.989936875083121, 8.066403891654243]","[1.9149895257730263, 4.993128029585278]"
23113,24,1,20210917,2519,0.18181818181818182,"[3.0749473493100945, 3.0732758620689653]","[6.179742198493244, 5.674858103999673]","[3.1047948491831496, 2.601582241930708]"
23114,24,1,20210907,4116,0.11688311688311688,"[3.074320987654321, 3.0732758620689653]","[6.265087812746958, 5.910349041552863]","[3.190766825092637, 2.8370731794838973]"
23114,24,1,20210908,4116,0.15584415584415584,"[3.074320987654321, 3.0732758620689653]","[12.277305808348663, 6.587327093267939]","[9.202984820694342, 3.514051231198974]"
23114,24,1,20210909,4116,0.14285714285714285,"[3.074320987654321, 3.0732758620689653]","[8.208543660637833, 6.328409386016651]","[5.134222672983512, 3.255133523947686]"
23114,24,1,20210910,4116,0.12987012987012986,"[3.074320987654321, 3.0732758620689653]","[5.656212440057765, 6.454304286088901]","[2.581891452403444, 3.3810284240199353]"
