org_row,route_id,direction_id,date,stop_id,on_time_rate,schedule_waiting_time,actual_waiting_time,excess_waiting_time
36041,7,1,20210910,5064,0.2857142857142857,"[3.0850340136054424, 3.6818181818181817, 3.0547945205479454]","[2.518277650251351, 3.3444423517623907, 5.602210377607153]","[-0.5667563633540915, -0.33737583005579097, 2.5474158570592076]"
36041,7,1,20210913,5064,0.38095238095238093,"[3.0850340136054424, 3.6818181818181817, 3.0547945205479454]","[3.17944929839727, 2.843461481991485, 3.1085354486740244]","[0.09441528479182759, -0.8383566998266967, 0.053740928126079]"
36041,7,1,20210914,5064,0.35714285714285715,"[3.0850340136054424, 3.6818181818181817, 3.0547945205479454]","[2.839775419611246, 5.40858919739777, 3.347262553331191]","[-0.24525859399419625, 1.7267710155795886, 0.2924680327832454]"
36041,7,1,20210915,5064,0.40476190476190477,"[3.0850340136054424, 3.6818181818181817, 3.0547945205479454]","[3.625129117752786, 3.507281876643864, 3.032491428064456]","[0.5400951041473436, -0.17453630517431762, -0.022303092483489273]"
36041,7,1,20210916,5064,0.23809523809523808,"[3.0850340136054424, 3.6818181818181817, 3.0547945205479454]","[3.0985859747379862, 2.7952533515245164, 6.68515521525193]","[0.013551961132543866, -0.8865648302936653, 3.6303606947039846]"
36041,7,1,20210917,5064,0.2857142857142857,"[3.0850340136054424, 3.6818181818181817, 3.0547945205479454]","[2.5707069821890256, 4.217433697063678, 3.8058930893317475]","[-0.5143270314164168, 0.535615515245496, 0.7510985687838021]"
36042,7,1,20210907,6430F,0.5061728395061729,"[3.0850340136054424, 3.6818181818181817, 3.048780487804878]","[4.178942974044177, 11.784249999999945, 6.697618704955096]","[1.0939089604387346, 8.102431818181763, 3.6488382171502183]"
36042,7,1,20210908,6430F,0.5555555555555556,"[3.0850340136054424, 3.6818181818181817, 3.048780487804878]","[10.669891227048952, 3.585266045514942, 6.28287293334127]","[7.5848572134435095, -0.09655213630323978, 3.234092445536392]"
36042,7,1,20210909,6430F,0.5185185185185185,"[3.0850340136054424, 3.6818181818181817, 3.048780487804878]","[3.3602935865456787, 3.733949286164596, 6.988633363937208]","[0.2752595729402363, 0.052131104346414325, 3.9398528761323295]"
36042,7,1,20210910,6430F,0.5432098765432098,"[3.0850340136054424, 3.6818181818181817, 3.048780487804878]","[4.5284910136706875, 3.913204948253105, 4.039944808896047]","[1.4434570000652451, 0.23138676643492317, 0.9911643210911691]"
