org_row,route_id,direction_id,date,stop_id,on_time_rate,schedule_waiting_time,actual_waiting_time,excess_waiting_time
26128,3,0,20210915,8362,0.5142857142857142,"[2.7115334813170553, 3.2350505050505047]","[2.6181000000000494, 4.024884086721235]","[-0.0934334813170059, 0.78983358167073]"
26128,3,0,20210916,8362,0.4857142857142857,"[2.7115334813170553, 3.2350505050505047]","[4.224941666666624, 4.694767668431932]","[1.5134081853495691, 1.459717163381427]"
26128,3,0,20210917,8362,0.5523809523809524,"[2.7115334813170553, 3.2350505050505047]","[3.0537300052247915, 3.7892768336630316]","[0.34219652390773625, 0.5542263286125269]"
26129,3,0,20210907,8352,0.3904761904761905,"[2.9481296296296295, 3.2348434255569893]","[3.4876916666666755, 4.72685928595068]","[0.539562037037046, 1.4920158603936908]"
26129,3,0,20210908,8352,0.5333333333333333,"[2.9481296296296295, 3.2348434255569893]","[2.685500000000017, 4.2011576476410735]","[-0.26262962962961245, 0.9663142220840841]"
26129,3,0,20210909,8352,0.4666666666666667,"[2.9481296296296295, 3.2348434255569893]","[5.530608333333293, 4.354498337522485]","[2.582478703703664, 1.1196549119654957]"
26129,3,0,20210910,8352,0.4666666666666667,"[2.9481296296296295, 3.2348434255569893]","[2.6837916666666692, 4.795378873782853]","[-0.2643379629629603, 1.5605354482258633]"
26129,3,0,20210913,8352,0.5333333333333333,"[2.9481296296296295, 3.2348434255569893]","[3.1053548286629877, 4.41676814351481]","[0.1572251990333582, 1.1819247179578207]"
26129,3,0,20210914,8352,0.3238095238095238,"[2.9481296296296295, 3.2348434255569893]","[2.368358333333284, 4.181455937550625]","[-0.5797712962963457, 0.9466125119936359]"
26129,3,0,20210915,8352,0.5523809523809524,"[2.9481296296296295, 3.2348434255569893]","[2.599333333333319, 3.902171442864671]","[-0.3487962962963107, 0.6673280173076819]"
26129,3,0,20210916,8352,0.44761904761904764,"[2.9481296296296295, 3.2348434255569893]","[4.212933333333361, 4.617100938866289]","[1.2648037037037319, 1.3822575133093]"
26129,3,0,20210917,8352,0.5333333333333333,"[2.9481296296296295, 3.2348434255569893]","[3.0603510592936627, 3.935250352934096]","[0.11222142966403315, 0.7004069273771067]"
26130,3,0,20210907,8342,0.4095238095238095,"[2.7115519792822793, 3.2246387825564815]","[3.4936666666667104, 5.0767226236787115]","[0.7821146873844311, 1.85208384112223]"
26130,3,0,20210908,8342,0.49523809523809526,"[2.7115519792822793, 3.2246387825564815]","[2.129125000000022, 4.212507102130382]","[-0.5824269792822574, 0.9878683195739004]"
26130,3,0,20210909,8342,0.4380952380952381,"[2.7115519792822793, 3.2246387825564815]","[5.526341666666667, 4.337619140222756]","[2.814789687384388, 1.1129803576662747]"
26130,3,0,20210910,8342,0.5142857142857142,"[2.7115519792822793, 3.2246387825564815]","[2.3834249999999884, 4.886186686426202]","[-0.32812697928229095, 1.66154790386972]"
26130,3,0,20210913,8342,0.5142857142857142,"[2.7115519792822793, 3.2246387825564815]","[3.019304063532367, 4.020121171797542]","[0.3077520842500876, 0.7954823892410605]"
26130,3,0,20210914,8342,0.34285714285714286,"[2.7115519792822793, 3.2246387825564815]","[2.622491666666671, 4.6091681177892925]","[-0.08906031261560843, 1.384529335232811]"
26130,3,0,20210915,8342,0.49523809523809526,"[2.7115519792822793, 3.2246387825564815]","[3.21900002053502, 3.907056238913695]","[0.5074480412527409, 0.6824174563572134]"
26130,3,0,20210916,8342,0.4857142857142857,"[2.7115519792822793, 3.2246387825564815]","[3.95016666666664, 4.595647773356043]","[1.2386146873843606, 1.3710089907995613]"
26130,3,0,20210917,8342,0.5619047619047619,"[2.7115519792822793, 3.2246387825564815]","[2.798134223281695, 3.9234309603865274]","[0.08658224399941572, 0.6987921778300459]"
26131,3,0,20210907,8332,0.3904761904761905,"[2.7115334813170553, 3.224483946030138]","[3.4945333333333104, 5.016672593891445]","[0.7829998520162551, 1.7921886478613072]"
26131,3,0,20210908,8332,0.47619047619047616,"[2.7115334813170553, 3.224483946030138]","[3.5643069237210123, 4.214612835923016]","[0.852773442403957, 0.990128889892878]"
26131,3,0,20210909,8332,0.44761904761904764,"[2.7115334813170553, 3.224483946030138]","[5.516949999999997, 4.522758250639471]","[2.8054165186829416, 1.2982743046093326]"
26131,3,0,20210910,8332,0.5047619047619047,"[2.7115334813170553, 3.224483946030138]","[2.3561000000000303, 4.943217636873234]","[-0.355433481317025, 1.718733690843096]"
26131,3,0,20210913,8332,0.49523809523809526,"[2.7115334813170553, 3.224483946030138]","[3.1233761744811703, 4.485782348096393]","[0.41184269316411504, 1.261298402066255]"
26131,3,0,20210914,8332,0.3047619047619048,"[2.7115334813170553, 3.224483946030138]","[2.6091999999999946, 4.696368421131919]","[-0.10233348131706066, 1.4718844751017812]"
26131,3,0,20210915,8332,0.5142857142857142,"[2.7115334813170553, 3.224483946030138]","[2.601900000000023, 3.8996151392775547]","[-0.1096334813170321, 0.6751311932474167]"
26131,3,0,20210916,8332,0.4857142857142857,"[2.7115334813170553, 3.224483946030138]","[3.949308333333344, 5.017564900926107]","[1.2377748520162886, 1.7930809548959692]"
26131,3,0,20210917,8332,0.5333333333333333,"[2.7115334813170553, 3.224483946030138]","[2.7737658458228744, 3.9218914283722706]","[0.06223236450581915, 0.6974074823421326]"
26132,3,0,20210907,8322,0.4095238095238095,"[2.94912962962963, 3.246708667751773]","[3.4680750000000145, 4.667478092217645]","[0.5189453703703846, 1.4207694244658722]"
26132,3,0,20210908,8322,0.47619047619047616,"[2.94912962962963, 3.246708667751773]","[1.8415416666666717, 4.240906677152852]","[-1.1075879629629581, 0.9941980094010789]"
26132,3,0,20210909,8322,0.4380952380952381,"[2.94912962962963, 3.246708667751773]","[5.533158333333328, 4.267119075262033]","[2.5840287037036984, 1.0204104075102602]"
26132,3,0,20210910,8322,0.49523809523809526,"[2.94912962962963, 3.246708667751773]","[2.3415916666666816, 4.13921230018037]","[-0.6075379629629483, 0.8925036324285971]"
26132,3,0,20210913,8322,0.47619047619047616,"[2.94912962962963, 3.246708667751773]","[2.1385166666666313, 4.521877490090366]","[-0.8106129629629986, 1.2751688223385935]"
26132,3,0,20210914,8322,0.3238095238095238,"[2.94912962962963, 3.246708667751773]","[2.8805083333333337, 4.662518598616328]","[-0.06862129629629621, 1.4158099308645546]"
26132,3,0,20210915,8322,0.49523809523809526,"[2.94912962962963, 3.246708667751773]","[2.3783083333333708, 3.9403508075884166]","[-0.5708212962962591, 0.6936421398366437]"
