,org_row,route_id,direction_id,date,stop_id,punc
0,15992,22,0,20210926,0529,"[[0, 3]]"
1,15992,22,0,20211003,0529,"[[0, 3]]"
2,15992,22,0,20211010,0529,"[[0, 3]]"
3,15992,22,0,20211017,0529,"[[0, 3]]"
4,15993,22,1,20210926,2351F,"[[0, 1]]"
5,15993,22,1,20211003,2351F,"[[0, 1]]"
6,15993,22,1,20211010,2351F,"[[0, 1]]"
7,15993,22,1,20211017,2351F,"[[0, 1]]"
8,15994,23,1,20210926,0529,"[[0, 7], [8, 12], [13, 19], [77, 83], [84, 89], [90, 95]]"
9,15994,23,1,20211003,0529,"[[0, 7], [8, 12], [13, 19], [77, 83], [84, 89], [90, 95]]"
10,15994,23,1,20211010,0529,"[[0, 7], [8, 12], [13, 19], [77, 83], [84, 89], [90, 95]]"
11,15994,23,1,20211017,0529,"[[0, 7], [8, 12], [13, 19], [77, 83], [84, 89], [90, 95]]"
12,15995,23,1,20210926,0536,"[[0, 7], [8, 12], [13, 19], [77, 83], [84, 89], [90, 95]]"
13,15995,23,1,20211003,0536,"[[0, 7], [8, 12], [13, 19], [77, 83], [84, 89], [90, 95]]"
14,15995,23,1,20211010,0536,"[[0, 7], [8, 12], [13, 19], [77, 83], [84, 89], [90, 95]]"
15,15995,23,1,20211017,0536,"[[0, 7], [8, 12], [13, 19], [77, 83], [84, 89], [90, 95]]"
16,15996,23,1,20210926,5762,"[[0, 7], [8, 12], [13, 19], [77, 83], [84, 89], [90, 95]]"
17,15996,23,1,20211003,5762,"[[0, 7], [8, 12], [13, 19], [77, 83], [84, 89], [90, 95]]"
18,15996,23,1,20211010,5762,"[[0, 7], [8, 12], [13, 19], [77, 83], [84, 89], [90, 95]]"
19,15996,23,1,20211017,5762,"[[0, 7], [8, 12], [13, 19], [77, 83], [84, 89], [90, 95]]"
20,15997,23,1,20210926,2720F,"[[0, 7], [8, 12], [13, 19], [77, 83], [84, 89], [90, 95]]"
21,15997,23,1,20211003,2720F,"[[0, 7], [8, 12], [13, 19], [77, 83], [84, 89], [90, 95]]"
22,15997,23,1,20211010,2720F,"[[0, 7], [8, 12], [13, 19], [77, 83], [84, 89], [90, 95]]"
23,15997,23,1,20211017,2720F,"[[0, 7], [8, 12], [13, 19], [77, 83], [84, 89], [90, 95]]"
24,15998,23,1,20210926,2786F,"[[0, 7], [8, 12], [13, 19], [85, 89], [90, 95]]"
25,15998,23,1,20211003,2786F,"[[0, 7], [8, 12], [13, 19], [85, 89], [90, 95]]"
26,15998,23,1,20211010,2786F,"[[0, 7], [8, 12], [13, 19], [85, 89], [90, 95]]"
27,15998,23,1,20211017,2786F,"[[0, 7], [8, 12], [13, 19], [85, 89], [90, 95]]"
28,15999,23,1,20210926,5765F,"[[0, 7], [8, 12], [13, 19], [85, 89], [90, 95]]"
29,15999,23,1,20211003,5765F,"[[0, 7], [8, 12], [13, 19], [85, 89], [90, 95]]"
30,15999,23,1,20211010,5765F,"[[0, 7], [8, 12], [13, 19], [85, 89], [90, 95]]"
31,15999,23,1,20211017,5765F,"[[0, 7], [8, 12], [13, 19], [85, 89], [90, 95]]"
32,16000,23,1,20210926,5766,"[[0, 8], [9, 13], [14, 19], [87, 91], [92, 97]]"
33,16000,23,1,20211003,5766,"[[0, 8], [9, 13], [14, 19], [87, 91], [92, 97]]"
34,16000,23,1,20211010,5766,"[[0, 8], [9, 13], [14, 19], [87, 91], [92, 97]]"
35,16000,23,1,20211017,5766,"[[0, 8], [9, 13], [14, 19], [87, 91], [92, 97]]"
36,16001,7,0,20210926,5042,"[[0, 27]]"
37,16001,7,0,20211003,5042,"[[0, 27]]"
38,16001,7,0,20211010,5042,"[[0, 27]]"
39,16001,7,0,20211017,5042,"[[0, 27]]"
40,16002,7,0,20210926,5874F,"[[0, 27]]"
41,16002,7,0,20211003,5874F,"[[0, 27]]"
42,16002,7,0,20211010,5874F,"[[0, 27]]"
43,16002,7,0,20211017,5874F,"[[0, 27]]"
44,16003,7,0,20210926,5275F,"[[0, 27]]"
45,16003,7,0,20211003,5275F,"[[0, 27]]"
46,16003,7,0,20211010,5275F,"[[0, 27]]"
47,16003,7,0,20211017,5275F,"[[0, 27]]"
48,16004,7,0,20210926,5274F,"[[0, 27]]"
49,16004,7,0,20211003,5274F,"[[0, 27]]"
50,16004,7,0,20211010,5274F,"[[0, 27]]"
51,16004,7,0,20211017,5274F,"[[0, 27]]"
52,16005,7,0,20210926,5308F,"[[0, 27]]"
53,16005,7,0,20211003,5308F,"[[0, 27]]"
54,16005,7,0,20211010,5308F,"[[0, 27]]"
55,16005,7,0,20211017,5308F,"[[0, 27]]"
56,16007,37,0,20210920,1042,"[[0, 3]]"
57,16007,37,0,20210921,1042,"[[0, 3]]"
58,16007,37,0,20210922,1042,"[[0, 3]]"
59,16007,37,0,20210923,1042,"[[0, 3]]"
60,16007,37,0,20210924,1042,"[[0, 3]]"
61,16007,37,0,20210927,1042,"[[0, 3]]"
62,16007,37,0,20210928,1042,"[[0, 3]]"
63,16007,37,0,20210929,1042,"[[0, 3]]"
64,16007,37,0,20210930,1042,"[[0, 3]]"
65,16007,37,0,20211001,1042,"[[0, 3]]"
66,16007,37,0,20211004,1042,"[[0, 3]]"
67,16007,37,0,20211005,1042,"[[0, 3]]"
68,16007,37,0,20211006,1042,"[[0, 3]]"
69,16007,37,0,20211007,1042,"[[0, 3]]"
70,16007,37,0,20211008,1042,"[[0, 3]]"
71,16007,37,0,20211011,1042,"[[0, 3]]"
72,16007,37,0,20211012,1042,"[[0, 3]]"
73,16007,37,0,20211013,1042,"[[0, 3]]"
74,16007,37,0,20211014,1042,"[[0, 3]]"
75,16007,37,0,20211015,1042,"[[0, 3]]"
76,16008,37,0,20210920,5501,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
77,16008,37,0,20210921,5501,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
78,16008,37,0,20210922,5501,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
79,16008,37,0,20210923,5501,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
80,16008,37,0,20210924,5501,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
81,16008,37,0,20210927,5501,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
82,16008,37,0,20210928,5501,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
83,16008,37,0,20210929,5501,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
84,16008,37,0,20210930,5501,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
85,16008,37,0,20211001,5501,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
86,16008,37,0,20211004,5501,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
87,16008,37,0,20211005,5501,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
88,16008,37,0,20211006,5501,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
89,16008,37,0,20211007,5501,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
90,16008,37,0,20211008,5501,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
91,16008,37,0,20211011,5501,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
92,16008,37,0,20211012,5501,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
93,16008,37,0,20211013,5501,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
94,16008,37,0,20211014,5501,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
95,16008,37,0,20211015,5501,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
96,16009,37,0,20210920,5502,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
97,16009,37,0,20210921,5502,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
98,16009,37,0,20210922,5502,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
99,16009,37,0,20210923,5502,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
100,16009,37,0,20210924,5502,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
101,16009,37,0,20210927,5502,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
102,16009,37,0,20210928,5502,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
103,16009,37,0,20210929,5502,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
104,16009,37,0,20210930,5502,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
105,16009,37,0,20211001,5502,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
106,16009,37,0,20211004,5502,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
107,16009,37,0,20211005,5502,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
108,16009,37,0,20211006,5502,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
109,16009,37,0,20211007,5502,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
110,16009,37,0,20211008,5502,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
111,16009,37,0,20211011,5502,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
112,16009,37,0,20211012,5502,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
113,16009,37,0,20211013,5502,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
114,16009,37,0,20211014,5502,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
115,16009,37,0,20211015,5502,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
116,16010,37,0,20210920,5503,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
117,16010,37,0,20210921,5503,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
118,16010,37,0,20210922,5503,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
119,16010,37,0,20210923,5503,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
120,16010,37,0,20210924,5503,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
121,16010,37,0,20210927,5503,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
122,16010,37,0,20210928,5503,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
123,16010,37,0,20210929,5503,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
124,16010,37,0,20210930,5503,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
125,16010,37,0,20211001,5503,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
126,16010,37,0,20211004,5503,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
127,16010,37,0,20211005,5503,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
128,16010,37,0,20211006,5503,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
129,16010,37,0,20211007,5503,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
130,16010,37,0,20211008,5503,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
131,16010,37,0,20211011,5503,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
132,16010,37,0,20211012,5503,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
133,16010,37,0,20211013,5503,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
134,16010,37,0,20211014,5503,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
135,16010,37,0,20211015,5503,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
136,16011,37,0,20210920,5504,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
137,16011,37,0,20210921,5504,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
138,16011,37,0,20210922,5504,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
139,16011,37,0,20210923,5504,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
140,16011,37,0,20210924,5504,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
141,16011,37,0,20210927,5504,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
142,16011,37,0,20210928,5504,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
143,16011,37,0,20210929,5504,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
144,16011,37,0,20210930,5504,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
145,16011,37,0,20211001,5504,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
146,16011,37,0,20211004,5504,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
147,16011,37,0,20211005,5504,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
148,16011,37,0,20211006,5504,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
149,16011,37,0,20211007,5504,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
150,16011,37,0,20211008,5504,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
151,16011,37,0,20211011,5504,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
152,16011,37,0,20211012,5504,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
153,16011,37,0,20211013,5504,"[[0, 13], [31, 36], [37, 44], [45, 50], [51, 54], [55, 59], [60, 64], [111, 118], [119, 123], [124, 131], [132, 135]]"
