,org_row,route_id,direction_id,date,stop_id,punc
0,27379,6,0,20210828,6422F,"[[0, 14]]"
1,27380,6,0,20210828,5221F,"[[0, 3], [4, 16]]"
2,27381,6,0,20210828,9963F,[]
3,27382,6,0,20210828,5222F,"[[0, 3], [4, 16], [82, 89]]"
4,27383,6,0,20210828,5253,"[[0, 3], [4, 16], [82, 89]]"
5,27384,6,0,20210828,5254,"[[0, 3], [4, 16], [82, 89]]"
6,27385,6,0,20210828,5255F,"[[0, 3], [4, 16], [82, 89]]"
7,27386,6,0,20210828,5256F,"[[0, 3], [4, 16], [82, 89]]"
8,27387,6,0,20210828,1048F,"[[0, 3], [4, 16], [82, 89]]"
9,27388,6,0,20210828,5258,"[[0, 3], [4, 16], [82, 89]]"
10,27389,6,0,20210828,2351F,"[[0, 17]]"
11,27390,5,0,20210828,0631,"[[0, 3]]"
12,27391,6,1,20210828,3481,"[[16, 24], [88, 93], [94, 98], [99, 103]]"
13,27392,6,1,20210828,5208,"[[16, 24], [88, 93], [94, 98], [99, 103]]"
14,27393,6,1,20210828,1049F,"[[16, 24], [88, 93], [94, 98], [99, 103]]"
15,27394,6,1,20210828,5210,"[[16, 24], [88, 93], [94, 98], [99, 103]]"
16,27395,6,1,20210828,5211,"[[16, 24], [88, 93], [94, 98], [99, 103]]"
17,27396,6,1,20210828,5212,"[[16, 24], [88, 93], [94, 98], [99, 103]]"
18,27397,6,1,20210828,5213,"[[16, 24], [88, 93], [94, 98], [99, 103]]"
19,27398,6,1,20210828,5220F,"[[16, 24], [88, 93], [94, 98], [99, 103]]"
20,27399,6,1,20210828,9969F,"[[16, 24], [88, 93], [94, 98], [99, 103]]"
21,27400,6,1,20210828,5219F,"[[16, 24], [88, 93], [94, 98], [99, 103]]"
22,27401,6,1,20210828,6421F,"[[16, 24], [88, 93], [94, 98], [99, 103]]"
23,27402,7,0,20210828,6423F,"[[0, 4], [5, 9], [10, 14], [15, 19], [20, 31], [69, 104], [105, 118]]"
24,27403,7,0,20210828,5024,"[[0, 4], [5, 9], [10, 14], [15, 19], [20, 31], [69, 104], [105, 118]]"
25,27404,7,0,20210828,5025,"[[0, 4], [5, 9], [10, 14], [15, 19], [20, 31], [69, 104], [105, 118]]"
26,27405,7,0,20210828,5026,"[[0, 4], [5, 9], [10, 14], [15, 19], [20, 31], [69, 104], [105, 118]]"
27,27406,7,0,20210828,2764G,"[[0, 4], [5, 9], [10, 19], [20, 30], [70, 105], [106, 119]]"
28,27407,7,0,20210828,2765,"[[0, 4], [5, 9], [10, 19], [20, 30], [70, 105], [106, 119]]"
29,27408,7,0,20210828,5027,"[[0, 4], [5, 9], [10, 19], [20, 30], [70, 105], [106, 119]]"
30,27409,7,0,20210828,5028,"[[0, 4], [5, 9], [10, 19], [20, 30], [70, 105], [106, 119]]"
31,27410,7,0,20210828,5029,"[[0, 4], [5, 9], [10, 19], [20, 30], [70, 105], [106, 119]]"
32,27411,7,0,20210828,6931H,"[[0, 4], [5, 9], [10, 19], [20, 30], [70, 105], [106, 119]]"
33,27412,7,0,20210828,5031F,"[[0, 4], [5, 9], [10, 19], [20, 30], [70, 105], [106, 119]]"
34,27413,7,0,20210828,5032G,"[[0, 4], [5, 9], [10, 19], [20, 30], [70, 105], [106, 119]]"
35,27414,7,0,20210828,6934F,"[[0, 4], [5, 9], [10, 19], [20, 30], [70, 105], [106, 119]]"
36,27415,7,1,20210828,6934F,"[[0, 6], [7, 14], [15, 24], [102, 114], [115, 119]]"
37,27416,7,1,20210828,5053G,"[[0, 6], [7, 14], [15, 24], [102, 114], [115, 119]]"
38,27417,7,1,20210828,5054F,"[[0, 6], [7, 14], [15, 24], [102, 114], [115, 119]]"
39,27418,7,1,20210828,6956H,"[[0, 6], [7, 14], [15, 24], [102, 114], [115, 119]]"
40,27419,7,1,20210828,5056,"[[0, 6], [7, 14], [15, 24], [102, 114], [115, 119]]"
41,27420,7,1,20210828,5057,"[[0, 6], [7, 14], [15, 24], [102, 114], [115, 119]]"
42,27421,7,1,20210828,2708G,"[[0, 6], [7, 28], [102, 114], [115, 119]]"
43,27422,7,1,20210828,2709F,"[[0, 6], [7, 28], [100, 112], [113, 117]]"
44,27423,7,1,20210828,2710G,"[[0, 6], [7, 28], [100, 112], [113, 117]]"
45,27424,7,1,20210828,5058F,"[[0, 6], [7, 28], [100, 112], [113, 117]]"
46,27425,7,1,20210828,5059,"[[0, 6], [7, 28], [100, 112], [113, 117]]"
47,27426,7,1,20210828,5060,"[[0, 6], [7, 28], [100, 112], [113, 117]]"
48,27427,7,1,20210828,6424F,"[[0, 6], [7, 28], [100, 112], [113, 117]]"
49,27429,8,1,20210828,2708G,"[[0, 20]]"
50,27430,8,1,20210828,2709F,"[[0, 20]]"
51,27431,8,1,20210828,2710G,"[[0, 20]]"
52,27432,8,1,20210828,1984G,"[[0, 13]]"
53,27433,8,1,20210828,5952F,"[[0, 13]]"
54,27434,8,1,20210828,5953F,"[[0, 13]]"
55,27435,8,1,20210828,5920H,"[[0, 6]]"
56,27436,6,1,20210828,6424F,"[[0, 2]]"
57,27437,8,0,20210828,5921G,"[[0, 4]]"
58,27438,8,0,20210828,5916F,"[[0, 65], [71, 77]]"
59,27439,8,0,20210828,5917F,"[[0, 65], [71, 77]]"
60,27440,8,0,20210828,1985G,"[[0, 65], [71, 77]]"
61,27441,8,0,20210828,2764G,"[[0, 65], [71, 77]]"
62,27442,10,1,20210829,5921G,"[[0, 4], [5, 14], [76, 82], [83, 91], [92, 95]]"
63,27443,10,1,20210829,5916F,"[[0, 4], [5, 14], [76, 82], [83, 91], [92, 95]]"
64,27444,10,1,20210829,5917F,"[[0, 4], [5, 14], [76, 82], [83, 91], [92, 95]]"
