org_row,route_id,direction_id,date,stop_id,on_time_rate,schedule_waiting_time,actual_waiting_time,excess_waiting_time,weighted_excess,a_devided_s
31970,10,0,20210917,1984G,0.26881720430107525,"[3.0869565217391304, 3.0737704918032787]","[4.928964876164068, 3.945557300453457]","[1.8420083544249377, 0.8717868086501785]",1.3568975815375581,0.8278145695364238
31971,10,0,20210907,5952F,0.2903225806451613,"[3.0869565217391304, 3.0737704918032787]","[3.8617883359828626, 6.981954741495962]","[0.7748318142437323, 3.9081842496926837]",2.341508031968208,0.8609271523178808
31971,10,0,20210908,5952F,0.24731182795698925,"[3.0869565217391304, 3.0737704918032787]","[5.486797780564618, 4.135983608901568]","[2.399841258825488, 1.0622131170982891]",1.7310271879618884,0.8079470198675497
31971,10,0,20210909,5952F,0.3225806451612903,"[3.0869565217391304, 3.0737704918032787]","[4.266978453798866, 4.623536754717969]","[1.1800219320597356, 1.54976626291469]",1.3648940974872128,0.7947019867549668
31971,10,0,20210910,5952F,0.2903225806451613,"[3.0869565217391304, 3.0737704918032787]","[5.261752333563634, 6.721544838609386]","[2.1747958118245037, 3.6477743468061075]",2.9112850793153053,0.7880794701986755
31971,10,0,20210913,5952F,0.22580645161290322,"[3.0869565217391304, 3.0737704918032787]","[5.663180980225021, 7.341322529322684]","[2.5762244584858904, 4.267552037519406]",3.421888248002648,0.7019867549668874
31971,10,0,20210914,5952F,0.3333333333333333,"[3.0869565217391304, 3.0737704918032787]","[7.024638060581461, 4.653098803684291]","[3.9376815388423307, 1.579328311881012]",2.7585049253616716,0.8013245033112583
31971,10,0,20210915,5952F,0.17204301075268819,"[3.0869565217391304, 3.0737704918032787]","[5.454611918801768, 4.478496197396254]","[2.3676553970626375, 1.4047257055929752]",1.8861905513278063,0.695364238410596
31971,10,0,20210916,5952F,0.34408602150537637,"[3.0869565217391304, 3.0737704918032787]","[3.928880004627447, 3.938468906936464]","[0.8419234828883164, 0.8646984151331853]",0.853310949010751,0.8410596026490066
31971,10,0,20210917,5952F,0.24731182795698925,"[3.0869565217391304, 3.0737704918032787]","[5.351828928466725, 5.004093426131707]","[2.2648724067275947, 1.9303229343284283]",2.0975976705280117,0.7615894039735099
31972,10,0,20210907,5953F,0.2903225806451613,"[3.0869565217391304, 3.0737704918032787]","[3.9891029968957077, 5.80252117709133]","[0.9021464751565773, 2.728750685288051]",1.8154485802223144,0.8543046357615894
