,org_row,route_id,direction_id,date,stop_id,punc
0,3885,22,0,20210823,4347,"[[0, 3], [62, 63], [64, 67], [68, 77]]"
1,3885,22,0,20210824,4347,"[[0, 3], [62, 63], [64, 67], [68, 77]]"
2,3885,22,0,20210825,4347,"[[0, 3], [62, 63], [64, 67], [68, 77]]"
3,3885,22,0,20210826,4347,"[[0, 3], [62, 63], [64, 67], [68, 77]]"
4,3886,22,0,20210823,4349,"[[0, 3], [62, 63], [64, 67], [68, 77]]"
5,3886,22,0,20210824,4349,"[[0, 3], [62, 63], [64, 67], [68, 77]]"
6,3886,22,0,20210825,4349,"[[0, 3], [62, 63], [64, 67], [68, 77]]"
7,3886,22,0,20210826,4349,"[[0, 3], [62, 63], [64, 67], [68, 77]]"
8,3887,22,0,20210823,4342,"[[0, 3], [62, 63], [64, 67], [68, 77]]"
9,3887,22,0,20210824,4342,"[[0, 3], [62, 63], [64, 67], [68, 77]]"
10,3887,22,0,20210825,4342,"[[0, 3], [62, 63], [64, 67], [68, 77]]"
11,3887,22,0,20210826,4342,"[[0, 3], [62, 63], [64, 67], [68, 77]]"
12,3888,22,0,20210823,4289,"[[0, 3], [62, 63], [64, 67], [68, 77]]"
13,3888,22,0,20210824,4289,"[[0, 3], [62, 63], [64, 67], [68, 77]]"
14,3888,22,0,20210825,4289,"[[0, 3], [62, 63], [64, 67], [68, 77]]"
15,3888,22,0,20210826,4289,"[[0, 3], [62, 63], [64, 67], [68, 77]]"
16,3889,22,0,20210823,4288,"[[0, 3], [62, 63], [64, 67], [68, 77]]"
17,3889,22,0,20210824,4288,"[[0, 3], [62, 63], [64, 67], [68, 77]]"
18,3889,22,0,20210825,4288,"[[0, 3], [62, 63], [64, 67], [68, 77]]"
19,3889,22,0,20210826,4288,"[[0, 3], [62, 63], [64, 67], [68, 77]]"
20,3890,22,0,20210823,4290,"[[0, 3], [62, 63], [64, 67], [68, 77]]"
21,3890,22,0,20210824,4290,"[[0, 3], [62, 63], [64, 67], [68, 77]]"
22,3890,22,0,20210825,4290,"[[0, 3], [62, 63], [64, 67], [68, 77]]"
23,3890,22,0,20210826,4290,"[[0, 3], [62, 63], [64, 67], [68, 77]]"
24,3891,22,0,20210823,1472,"[[0, 3], [62, 63], [64, 67], [68, 77]]"
25,3891,22,0,20210824,1472,"[[0, 3], [62, 63], [64, 67], [68, 77]]"
26,3891,22,0,20210825,1472,"[[0, 3], [62, 63], [64, 67], [68, 77]]"
27,3891,22,0,20210826,1472,"[[0, 3], [62, 63], [64, 67], [68, 77]]"
28,3892,22,0,20210823,4319,"[[0, 3], [62, 63], [64, 67], [68, 77]]"
29,3892,22,0,20210824,4319,"[[0, 3], [62, 63], [64, 67], [68, 77]]"
30,3892,22,0,20210825,4319,"[[0, 3], [62, 63], [64, 67], [68, 77]]"
31,3892,22,0,20210826,4319,"[[0, 3], [62, 63], [64, 67], [68, 77]]"
32,3893,22,0,20210823,9059,"[[0, 3], [62, 67], [68, 77]]"
33,3893,22,0,20210824,9059,"[[0, 3], [62, 67], [68, 77]]"
34,3893,22,0,20210825,9059,"[[0, 3], [62, 67], [68, 77]]"
35,3893,22,0,20210826,9059,"[[0, 3], [62, 67], [68, 77]]"
36,3894,22,1,20210823,9059,"[[0, 3], [56, 65], [66, 70], [71, 76], [77, 78]]"
37,3894,22,1,20210824,9059,"[[0, 3], [56, 65], [66, 70], [71, 76], [77, 78]]"
38,3894,22,1,20210825,9059,"[[0, 3], [56, 65], [66, 70], [71, 76], [77, 78]]"
39,3894,22,1,20210826,9059,"[[0, 3], [56, 65], [66, 70], [71, 76], [77, 78]]"
40,3895,22,1,20210823,4287,"[[0, 3], [62, 63], [64, 65], [66, 70], [71, 76], [77, 78]]"
41,3895,22,1,20210824,4287,"[[0, 3], [62, 63], [64, 65], [66, 70], [71, 76], [77, 78]]"
42,3895,22,1,20210825,4287,"[[0, 3], [62, 63], [64, 65], [66, 70], [71, 76], [77, 78]]"
43,3895,22,1,20210826,4287,"[[0, 3], [62, 63], [64, 65], [66, 70], [71, 76], [77, 78]]"
44,3896,22,1,20210823,4292,"[[0, 3], [62, 63], [64, 65], [66, 70], [71, 76], [77, 78]]"
45,3896,22,1,20210824,4292,"[[0, 3], [62, 63], [64, 65], [66, 70], [71, 76], [77, 78]]"
46,3896,22,1,20210825,4292,"[[0, 3], [62, 63], [64, 65], [66, 70], [71, 76], [77, 78]]"
47,3896,22,1,20210826,4292,"[[0, 3], [62, 63], [64, 65], [66, 70], [71, 76], [77, 78]]"
48,3897,22,1,20210823,4341,"[[0, 3], [62, 63], [64, 65], [66, 70], [71, 76], [77, 78]]"
49,3897,22,1,20210824,4341,"[[0, 3], [62, 63], [64, 65], [66, 70], [71, 76], [77, 78]]"
50,3897,22,1,20210825,4341,"[[0, 3], [62, 63], [64, 65], [66, 70], [71, 76], [77, 78]]"
51,3897,22,1,20210826,4341,"[[0, 3], [62, 63], [64, 65], [66, 70], [71, 76], [77, 78]]"
52,3898,22,1,20210823,4351,"[[0, 3], [62, 63], [64, 65], [66, 70], [71, 76], [77, 78]]"
53,3898,22,1,20210824,4351,"[[0, 3], [62, 63], [64, 65], [66, 70], [71, 76], [77, 78]]"
54,3898,22,1,20210825,4351,"[[0, 3], [62, 63], [64, 65], [66, 70], [71, 76], [77, 78]]"
55,3898,22,1,20210826,4351,"[[0, 3], [62, 63], [64, 65], [66, 70], [71, 76], [77, 78]]"
56,3899,22,1,20210823,4348,"[[0, 3], [62, 63], [64, 65], [66, 70], [71, 76], [77, 78]]"
57,3899,22,1,20210824,4348,"[[0, 3], [62, 63], [64, 65], [66, 70], [71, 76], [77, 78]]"
58,3899,22,1,20210825,4348,"[[0, 3], [62, 63], [64, 65], [66, 70], [71, 76], [77, 78]]"
59,3899,22,1,20210826,4348,"[[0, 3], [62, 63], [64, 65], [66, 70], [71, 76], [77, 78]]"
60,3900,22,1,20210823,4355,"[[0, 3], [62, 63], [64, 65], [66, 70], [71, 76], [77, 78]]"
61,3900,22,1,20210824,4355,"[[0, 3], [62, 63], [64, 65], [66, 70], [71, 76], [77, 78]]"
62,3900,22,1,20210825,4355,"[[0, 3], [62, 63], [64, 65], [66, 70], [71, 76], [77, 78]]"
63,3900,22,1,20210826,4355,"[[0, 3], [62, 63], [64, 65], [66, 70], [71, 76], [77, 78]]"
64,3901,22,1,20210823,1455,"[[0, 3], [62, 63], [64, 65], [66, 70], [71, 76], [77, 78]]"
65,3901,22,1,20210824,1455,"[[0, 3], [62, 63], [64, 65], [66, 70], [71, 76], [77, 78]]"
66,3901,22,1,20210825,1455,"[[0, 3], [62, 63], [64, 65], [66, 70], [71, 76], [77, 78]]"
67,3901,22,1,20210826,1455,"[[0, 3], [62, 63], [64, 65], [66, 70], [71, 76], [77, 78]]"
68,3902,22,1,20210823,4357,"[[0, 3], [62, 63], [64, 65], [66, 70], [71, 76], [77, 78]]"
69,3902,22,1,20210824,4357,"[[0, 3], [62, 63], [64, 65], [66, 70], [71, 76], [77, 78]]"
70,3902,22,1,20210825,4357,"[[0, 3], [62, 63], [64, 65], [66, 70], [71, 76], [77, 78]]"
71,3902,22,1,20210826,4357,"[[0, 3], [62, 63], [64, 65], [66, 70], [71, 76], [77, 78]]"
72,3903,22,1,20210823,4358,"[[0, 3], [62, 63], [64, 65], [66, 70], [71, 76], [77, 78]]"
73,3903,22,1,20210824,4358,"[[0, 3], [62, 63], [64, 65], [66, 70], [71, 76], [77, 78]]"
74,3903,22,1,20210825,4358,"[[0, 3], [62, 63], [64, 65], [66, 70], [71, 76], [77, 78]]"
75,3903,22,1,20210826,4358,"[[0, 3], [62, 63], [64, 65], [66, 70], [71, 76], [77, 78]]"
76,3904,22,1,20210823,4293,"[[0, 3], [62, 63], [64, 65], [66, 70], [71, 76], [77, 78]]"
77,3904,22,1,20210824,4293,"[[0, 3], [62, 63], [64, 65], [66, 70], [71, 76], [77, 78]]"
78,3904,22,1,20210825,4293,"[[0, 3], [62, 63], [64, 65], [66, 70], [71, 76], [77, 78]]"
79,3904,22,1,20210826,4293,"[[0, 3], [62, 63], [64, 65], [66, 70], [71, 76], [77, 78]]"
80,3905,22,1,20210823,4294,"[[0, 3], [62, 63], [64, 65], [66, 70], [71, 76], [77, 78]]"
81,3905,22,1,20210824,4294,"[[0, 3], [62, 63], [64, 65], [66, 70], [71, 76], [77, 78]]"
82,3905,22,1,20210825,4294,"[[0, 3], [62, 63], [64, 65], [66, 70], [71, 76], [77, 78]]"
83,3905,22,1,20210826,4294,"[[0, 3], [62, 63], [64, 65], [66, 70], [71, 76], [77, 78]]"
84,3906,22,1,20210823,4295,"[[0, 3], [62, 63], [64, 65], [66, 70], [71, 76], [77, 78]]"
85,3906,22,1,20210824,4295,"[[0, 3], [62, 63], [64, 65], [66, 70], [71, 76], [77, 78]]"
86,3906,22,1,20210825,4295,"[[0, 3], [62, 63], [64, 65], [66, 70], [71, 76], [77, 78]]"
87,3906,22,1,20210826,4295,"[[0, 3], [62, 63], [64, 65], [66, 70], [71, 76], [77, 78]]"
88,3907,22,1,20210823,4296,"[[0, 3], [62, 63], [64, 65], [66, 70], [71, 76], [77, 78]]"
89,3907,22,1,20210824,4296,"[[0, 3], [62, 63], [64, 65], [66, 70], [71, 76], [77, 78]]"
90,3907,22,1,20210825,4296,"[[0, 3], [62, 63], [64, 65], [66, 70], [71, 76], [77, 78]]"
91,3907,22,1,20210826,4296,"[[0, 3], [62, 63], [64, 65], [66, 70], [71, 76], [77, 78]]"
92,3908,22,1,20210823,4297,"[[0, 3], [62, 63], [64, 65], [66, 70], [71, 76], [77, 78]]"
93,3908,22,1,20210824,4297,"[[0, 3], [62, 63], [64, 65], [66, 70], [71, 76], [77, 78]]"
94,3908,22,1,20210825,4297,"[[0, 3], [62, 63], [64, 65], [66, 70], [71, 76], [77, 78]]"
95,3908,22,1,20210826,4297,"[[0, 3], [62, 63], [64, 65], [66, 70], [71, 76], [77, 78]]"
