,org_row,route_id,direction_id,date,stop_id,punc
0,18958,56,1,20210904,5760,"[[0, 3], [9, 18], [19, 23]]"
1,18958,56,1,20210911,5760,"[[0, 3], [9, 18], [19, 23]]"
2,18958,56,1,20210918,5760,"[[0, 3], [9, 18], [19, 23]]"
3,18959,56,1,20210904,5958C,"[[0, 3], [9, 18], [21, 25]]"
4,18959,56,1,20210911,5958C,"[[0, 3], [9, 18], [21, 25]]"
5,18959,56,1,20210918,5958C,"[[0, 3], [9, 18], [21, 25]]"
6,18960,56,1,20210904,5965,"[[0, 3], [9, 18], [21, 25]]"
7,18960,56,1,20210911,5965,"[[0, 3], [9, 18], [21, 25]]"
8,18960,56,1,20210918,5965,"[[0, 3], [9, 18], [21, 25]]"
9,18961,56,1,20210904,5959,"[[0, 3], [9, 18], [21, 25]]"
10,18961,56,1,20210911,5959,"[[0, 3], [9, 18], [21, 25]]"
11,18961,56,1,20210918,5959,"[[0, 3], [9, 18], [21, 25]]"
12,18962,56,1,20210904,5961,"[[0, 3], [9, 18], [21, 25]]"
13,18962,56,1,20210911,5961,"[[0, 3], [9, 18], [21, 25]]"
14,18962,56,1,20210918,5961,"[[0, 3], [9, 18], [21, 25]]"
15,18963,56,1,20210904,5967,"[[0, 3], [9, 18], [21, 25]]"
16,18963,56,1,20210911,5967,"[[0, 3], [9, 18], [21, 25]]"
17,18963,56,1,20210918,5967,"[[0, 3], [9, 18], [21, 25]]"
18,18964,56,1,20210904,5968,"[[0, 3], [9, 18], [21, 25]]"
19,18964,56,1,20210911,5968,"[[0, 3], [9, 18], [21, 25]]"
20,18964,56,1,20210918,5968,"[[0, 3], [9, 18], [21, 25]]"
21,18965,56,1,20210904,9776,"[[0, 3], [9, 18], [21, 25]]"
22,18965,56,1,20210911,9776,"[[0, 3], [9, 18], [21, 25]]"
23,18965,56,1,20210918,9776,"[[0, 3], [9, 18], [21, 25]]"
24,18966,56,1,20210904,9777,"[[0, 3], [9, 18], [21, 25]]"
25,18966,56,1,20210911,9777,"[[0, 3], [9, 18], [21, 25]]"
26,18966,56,1,20210918,9777,"[[0, 3], [9, 18], [21, 25]]"
27,18967,56,1,20210904,9778,"[[0, 3], [9, 18], [21, 25]]"
28,18967,56,1,20210911,9778,"[[0, 3], [9, 18], [21, 25]]"
29,18967,56,1,20210918,9778,"[[0, 3], [9, 18], [21, 25]]"
30,18968,56,1,20210904,9779,"[[0, 3], [9, 14], [15, 20], [21, 25]]"
31,18968,56,1,20210911,9779,"[[0, 3], [9, 14], [15, 20], [21, 25]]"
32,18968,56,1,20210918,9779,"[[0, 3], [9, 14], [15, 20], [21, 25]]"
33,18969,56,1,20210904,9780,"[[0, 3], [9, 14], [15, 20], [21, 25]]"
34,18969,56,1,20210911,9780,"[[0, 3], [9, 14], [15, 20], [21, 25]]"
35,18969,56,1,20210918,9780,"[[0, 3], [9, 14], [15, 20], [21, 25]]"
36,18970,56,1,20210904,9751,"[[0, 3], [9, 14], [15, 20], [21, 25]]"
37,18970,56,1,20210911,9751,"[[0, 3], [9, 14], [15, 20], [21, 25]]"
38,18970,56,1,20210918,9751,"[[0, 3], [9, 14], [15, 20], [21, 25]]"
39,18971,56,0,20210904,9751,"[[0, 3]]"
40,18971,56,0,20210911,9751,"[[0, 3]]"
41,18971,56,0,20210918,9751,"[[0, 3]]"
42,18972,56,0,20210904,9753,"[[0, 3]]"
43,18972,56,0,20210911,9753,"[[0, 3]]"
44,18972,56,0,20210918,9753,"[[0, 3]]"
45,18973,56,0,20210904,9754B,"[[0, 3], [37, 48]]"
46,18973,56,0,20210911,9754B,"[[0, 3], [37, 48]]"
47,18973,56,0,20210918,9754B,"[[0, 3], [37, 48]]"
48,18974,56,0,20210904,9755,"[[0, 3], [37, 48]]"
49,18974,56,0,20210911,9755,"[[0, 3], [37, 48]]"
