org_row,route_id,direction_id,date,stop_id,on_time_rate,schedule_waiting_time,actual_waiting_time,excess_waiting_time,weighted_excess,a_devided_s
8657,67,0,20210920,1615,0.2,"[7.461045892873368, 6.007575757575758]","[12.018594539536513, 9.45077835020007]","[4.557548646663146, 3.4432025926243117]",4.239164059794907,0.8135593220338984
8659,67,0,20210920,1617,0.0,"[7.476579254079255, 6.007575757575758]","[15.094671637206629, 7.110660809622079]","[7.618092383127374, 1.1030850520463211]",5.756661717104216,0.7457627118644068
8660,67,0,20210920,1602,0.1,"[7.476834945547312, 6.007575757575758]","[14.926767580027933, 10.318628224830217]","[7.449932634480621, 4.311052467254459]",6.5531097295588605,0.7627118644067796
8661,67,0,20210920,1620B,0.1,"[7.477125579468056, 6.007575757575758]","[14.346391610386876, 10.582316283821429]","[6.86926603091882, 4.574740526245671]",6.2136873152979195,0.7627118644067796
8662,67,0,20210920,1627,0.0,"[7.4924419205623165, 6.007575757575758]","[10.534228389868945, 13.005135120778931]","[3.0417864693066283, 6.997559363203173]",4.172007296134213,0.8135593220338984
8663,67,0,20210920,9164,0.1,"[7.492732599454758, 6.007575757575758]","[14.467759882427892, 13.925956527346477]","[6.975027282973134, 7.918380769770719]",7.2445568506295865,0.7288135593220338
8664,67,0,20210920,1629,0.043478260869565216,"[7.317258883248731, 6.007575757575758]","[9.827081951249493, 7.3161651942327195]","[2.5098230680007623, 1.3085894366569617]",2.1494529785976217,0.9322033898305084
8717,44,1,20210920,1664,0.02631578947368421,[6.053308823529412],[6.026330560371045],[-0.026978263158366822],-0.026978263158366822,1.1585365853658536
8718,44,1,20210920,3800,0.5,[6.04389066208364],[9.590738450522482],[3.546847788438842],3.546847788438842,0.7439024390243902
8719,44,1,20210920,3802,0.7368421052631579,[6.043736764570482],[2.4006004271150223],[-3.6431363374554593],-3.6431363374554593,5.817073170731708
8720,44,1,20210920,3804B,0.5,[6.043430475839702],[10.12966496985628],[4.086234494016579],4.086234494016579,0.7682926829268293
8721,44,1,20210920,3805,0.35714285714285715,[6.0548872180451125],[10.92439723587406],[4.869510017828948],4.869510017828948,0.6829268292682927
8722,44,1,20210920,1666,0.5357142857142857,[6.0548872180451125],[8.493956784436312],[2.4390695663911997],2.4390695663911997,0.8414634146341463
8723,44,0,20210920,3850,0.14285714285714285,[5.993044822256569],[6.750024513175358],[0.7569796909187891],0.7569796909187891,1.2073170731707317
8724,44,0,20210920,3815,0.5,[5.993019526520518],[8.660046024183826],[2.667026497663308],2.667026497663308,0.7804878048780488
8725,44,0,20210920,3851,0.5714285714285714,[5.989917907499955],[8.542855272006994],[2.552937364507039],2.552937364507039,0.8292682926829268
8726,44,0,20210920,3860,0.2857142857142857,[5.989889094984156],[11.106247307318105],[5.116358212333949],5.116358212333949,0.7439024390243902
8727,44,0,20210920,3859,0.42857142857142855,[5.993308738799169],[9.553927643449352],[3.560618904650183],3.560618904650183,0.7682926829268293
8728,44,0,20210920,3856,0.34615384615384615,[5.722222222222222],[5.991381862974723],[0.269159640752501],0.269159640752501,0.7926829268292683
8729,44,0,20210920,1665,0.32941176470588235,[],[],[],,0.7294117647058823
8730,44,0,20210920,3858,0.3048780487804878,[],[],[],,0.6951219512195121
8731,44,0,20210920,3852,0.30612244897959184,[6.057522401978672],[8.912411592281877],[2.854889190303205],2.854889190303205,0.7317073170731707
8732,44,0,20210920,2528,0.1836734693877551,[6.057428432406131],[8.686959320451765],[2.6295308880456334],2.6295308880456334,0.7926829268292683
8733,44,0,20210920,2541,0.20408163265306123,[6.059018005596333],[9.609973485045867],[3.5509554794495335],3.5509554794495335,0.8170731707317073
8735,44,1,20210920,3808,0.4444444444444444,"[6.10655737704918, 5.945414847161572]","[10.776602824765451, 8.486371734494911]","[4.670045447716271, 2.540956887333339]",3.2728310799649716,0.8170731707317073
8736,44,1,20210920,3812,0.37037037037037035,"[6.10655737704918, 5.945414847161572]","[15.286229413485568, 10.187506173943055]","[9.179672036436388, 4.242091326781482]",5.939384695725356,0.6951219512195121
8737,44,1,20210920,3853,0.46296296296296297,"[6.10655737704918, 5.945414847161572]","[17.845933557400752, 8.326641318935101]","[11.739376180351572, 2.3812264717735285]",5.598090434097231,0.8170731707317073
8738,44,1,20210920,3810,0.2962962962962963,"[6.10655737704918, 5.945414847161572]","[10.645064303153394, 9.448466555547604]","[4.538506926104214, 3.5030517083860317]",3.858989439476657,0.7195121951219512
8739,44,1,20210920,3814,0.25925925925925924,"[6.10655737704918, 5.945414847161572]","[8.067017017013628, 9.83469523724004]","[1.9604596399644478, 3.8892803900784667]",3.2262482572267723,0.7073170731707317
8740,44,1,20210920,3850,0.3333333333333333,"[6.10655737704918, 5.945414847161572]","[9.776599333257034, 6.9235949594315285]","[3.6700419562078537, 0.978180112269956]",1.9035076211236084,1.2073170731707317
8789,69,0,20210920,1339,0.6507936507936508,"[6.070469798657718, 6.266423357664234]","[1.9349919321019609, 2.0823807541462043]","[-4.135477866555757, -4.18404260351803]",-4.156291325253874,6.528735632183908
8790,69,0,20210920,2041,0.45454545454545453,"[7.66771296680703, 6.122736030828516, 7.2343566039300224]","[9.432272976759712, 9.738261992497167, 8.697180411003227]","[1.7645600099526826, 3.6155259616686504, 1.462823807073205]",2.0453908747017215,0.8045977011494253
8791,69,0,20210920,2042,0.4090909090909091,"[7.6474594279388795, 6.122736030828516, 7.232825413937031]","[13.578454451245351, 8.340982098459405, 10.813608396874281]","[5.930995023306472, 2.218246067630888, 3.58078298293725]",3.974409585835134,0.7471264367816092
8792,69,0,20210920,2043,0.3181818181818182,"[7.646686532645435, 6.123716238746249, 7.232500932951861]","[9.155574504191536, 12.030197016298795, 9.328504963929818]","[1.508887971546101, 5.906480777552545, 2.0960040309779577]",2.790835326651164,0.7816091954022989
8793,69,0,20210920,9853,0.3181818181818182,"[7.650711724491202, 6.12568155721006, 7.212243328622495]","[10.693648444790812, 11.204689475625125, 12.409652332897942]","[3.0429367202996094, 5.079007918415066, 5.197409004275446]",4.524004213743179,0.7586206896551724
8794,69,0,20210920,2028,0.2558139534883721,"[6.126666666666667, 7.177922077922078]","[11.072654524496832, 9.35023355066914]","[4.945987857830165, 2.1723114727470616]",3.096870267774763,0.7011494252873564
8795,69,0,20210920,1531,0.20930232558139536,"[6.126666666666667, 7.155187178151942]","[8.096188054830114, 9.437927914837529]","[1.9695213881634466, 2.2827407366855867]",2.1783342871782065,0.7586206896551724
8796,69,0,20210920,1320,0.23255813953488372,"[6.126666666666667, 7.154030134687441]","[15.52123696790785, 9.703901270320944]","[9.394570301241183, 2.549871135633503]",4.831437524169396,0.7241379310344828
8797,69,0,20210920,1533,0.627906976744186,"[6.126666666666667, 7.153645833333333]","[1.8383772789986812, 2.0302269102970434]","[-4.2882893876679855, -5.12341892303629]",-4.8450424112468555,5.413793103448276
