org_row,route_id,direction_id,date,stop_id,on_time_rate,schedule_waiting_time,actual_waiting_time,excess_waiting_time,weighted_excess,a_devided_s
13830,28,0,20210914,1415,0.30739299610894943,[],[],[],,0.36964980544747084
13830,28,0,20210915,1415,0.28793774319066145,[],[],[],,0.39299610894941633
13831,28,0,20210908,1831,0.28793774319066145,[],[],[],,0.38910505836575876
13831,28,0,20210909,1831,0.17898832684824903,[],[],[],,0.3852140077821012
13831,28,0,20210910,1831,0.16342412451361868,[],[],[],,0.3540856031128405
13831,28,0,20210913,1831,0.2490272373540856,[],[],[],,0.38132295719844356
13831,28,0,20210914,1831,0.29961089494163423,[],[],[],,0.4046692607003891
13831,28,0,20210915,1831,0.2918287937743191,[],[],[],,0.39299610894941633
13832,28,0,20210908,1830,0.29571984435797666,[],[],[],,0.5525291828793775
13832,28,0,20210909,1830,0.14007782101167315,[],[],[],,0.5097276264591439
13832,28,0,20210910,1830,0.22178988326848248,[],[],[],,0.4474708171206226
13832,28,0,20210913,1830,0.21011673151750973,[],[],[],,0.48249027237354086
13832,28,0,20210914,1830,0.311284046692607,[],[],[],,0.5330739299610895
13832,28,0,20210915,1830,0.28793774319066145,[],[],[],,0.5252918287937743
13833,28,1,20210908,9983,0.17857142857142858,[],[],[],,0.3392857142857143
13833,28,1,20210909,9983,0.10714285714285714,[],[],[],,0.30357142857142855
13833,28,1,20210910,9983,0.07142857142857142,[],[],[],,0.30357142857142855
13833,28,1,20210913,9983,0.03571428571428571,[],[],[],,0.3392857142857143
13833,28,1,20210914,9983,0.07142857142857142,[],[],[],,0.2857142857142857
13833,28,1,20210915,9983,0.17857142857142858,[],[],[],,0.35714285714285715
13834,28,1,20210908,1154,0.0,[],[],[],,0.3684210526315789
13834,28,1,20210909,1154,0.10526315789473684,[],[],[],,0.2631578947368421
13834,28,1,20210910,1154,0.5263157894736842,[],[],[],,0.47368421052631576
13834,28,1,20210913,1154,0.21052631578947367,[],[],[],,0.5263157894736842
13834,28,1,20210914,1154,0.42105263157894735,[],[],[],,0.42105263157894735
13834,28,1,20210915,1154,0.21052631578947367,[],[],[],,0.3684210526315789
13835,28,1,20210908,2289,0.3157894736842105,[],[],[],,0.47368421052631576
13835,28,1,20210909,2289,0.10526315789473684,[],[],[],,0.15789473684210525
13835,28,1,20210910,2289,0.0,[],[],[],,0.10526315789473684
13835,28,1,20210913,2289,0.0,[],[],[],,0.05263157894736842
13835,28,1,20210914,2289,0.21052631578947367,[],[],[],,0.3684210526315789
13835,28,1,20210915,2289,0.21052631578947367,[],[],[],,0.3157894736842105
13836,28,0,20210908,1139,0.0,[],[],[],,0.17647058823529413
13836,28,0,20210909,1139,0.11764705882352941,[],[],[],,0.23529411764705882
13836,28,0,20210910,1139,0.23529411764705882,[],[],[],,0.29411764705882354
13836,28,0,20210913,1139,0.11764705882352941,[],[],[],,0.4117647058823529
13836,28,0,20210914,1139,0.11764705882352941,[],[],[],,0.11764705882352941
13836,28,0,20210915,1139,0.11764705882352941,[],[],[],,0.29411764705882354
13837,28,0,20210908,1154,,[nan],[nan],[nan],,3.5
13837,28,0,20210909,1154,,[nan],[nan],[nan],,2.5
13837,28,0,20210910,1154,,[nan],[nan],[nan],,4.5
13837,28,0,20210913,1154,,[nan],[nan],[nan],,5.0
13837,28,0,20210914,1154,,[nan],[nan],[nan],,4.0
13837,28,0,20210915,1154,,[nan],[nan],[nan],,3.5
13838,28,0,20210908,2289,,[nan],[nan],[nan],,4.5
13838,28,0,20210909,2289,,[nan],[nan],[nan],,1.5
13838,28,0,20210910,2289,,[nan],[nan],[nan],,1.0
13838,28,0,20210913,2289,,[nan],[nan],[nan],,0.5
13838,28,0,20210914,2289,,[nan],[nan],[nan],,3.5
13838,28,0,20210915,2289,,[nan],[nan],[nan],,3.0
13839,28,0,20210911,2919,0.27586206896551724,[9.203703703703704],[6.48158688429325],[-2.722116819410454],-2.722116819410454,1.2419354838709677
13839,28,0,20210918,2919,0.13793103448275862,[9.203703703703704],[12.166745508798577],[2.963041805094873],2.963041805094873,1.1129032258064515
13840,28,0,20210911,6021,0.5483870967741935,[],[],[],,0.7258064516129032
13840,28,0,20210918,6021,0.7419354838709677,[],[],[],,0.9354838709677419
13841,28,0,20210911,1403,0.6129032258064516,[],[],[],,0.8225806451612904
13841,28,0,20210918,1403,0.6129032258064516,[],[],[],,0.8870967741935484
13842,28,0,20210911,1404,0.27419354838709675,[],[],[],,0.7903225806451613
13842,28,0,20210918,1404,0.3548387096774194,[],[],[],,0.8709677419354839
13843,28,0,20210911,6449,0.3387096774193548,[],[],[],,0.8548387096774194
13843,28,0,20210918,6449,0.3064516129032258,[],[],[],,0.9516129032258065
13844,28,0,20210911,1406,0.25806451612903225,[],[],[],,0.8064516129032258
13844,28,0,20210918,1406,0.1774193548387097,[],[],[],,0.8064516129032258
13845,28,0,20210911,1424,0.423728813559322,[8.42],[11.662695684757919],[3.242695684757919],3.242695684757919,0.8688524590163934
13845,28,0,20210918,1424,0.3898305084745763,[8.42],[7.945685577089409],[-0.47431442291059067],-0.47431442291059067,1.0
13846,28,0,20210911,1140,0.22641509433962265,[7.7758970588235305],[13.62656743122103],[5.8506703723974995],5.8506703723974995,0.7142857142857143
13846,28,0,20210918,1140,0.24528301886792453,[7.7758970588235305],[9.139250666312012],[1.3633536074884818],1.3633536074884818,0.9206349206349206
13847,28,0,20210911,1141,0.4827586206896552,[7.712290502793296],[12.811783024077009],[5.099492521283713],5.099492521283713,0.8253968253968254
13847,28,0,20210918,1141,0.27586206896551724,[7.712290502793296],[8.201545547938276],[0.4892550451449793],0.4892550451449793,0.9523809523809523
13848,28,0,20210911,1408,0.3103448275862069,[7.712290502793296],[11.929954127447283],[4.217663624653987],4.217663624653987,0.7619047619047619
13848,28,0,20210918,1408,0.1724137931034483,[7.712290502793296],[9.212228930129054],[1.499938427335758],1.499938427335758,0.8571428571428571
13849,28,0,20210911,6476,0.2727272727272727,[7.6440677966101696],[10.537936897784409],[2.8938691011742392],2.8938691011742392,0.8253968253968254
13849,28,0,20210918,6476,0.21212121212121213,[7.6440677966101696],[8.938813491702957],[1.2947456950927876],1.2947456950927876,0.9206349206349206
13850,28,0,20210911,1410,0.18181818181818182,[7.6440677966101696],[14.397201289919842],[6.753133493309672],6.753133493309672,0.746031746031746
13850,28,0,20210918,1410,0.18181818181818182,[7.6440677966101696],[10.106319662181763],[2.4622518655715933],2.4622518655715933,0.8571428571428571
13851,28,0,20210911,1421,0.30303030303030304,[7.6440677966101696],[11.229105358953005],[3.585037562342835],3.585037562342835,0.8095238095238095
13851,28,0,20210918,1421,0.15151515151515152,[7.6440677966101696],[9.976363916066928],[2.3322961194567586],2.3322961194567586,0.8571428571428571
