org_row,route_id,direction_id,date,stop_id,on_time_rate,schedule_waiting_time,actual_waiting_time,excess_waiting_time,weighted_excess,a_devided_s
32861,11,1,20210912,5430,,[7.367176815281084],[9.62466080775315],[2.257483992472066],2.257483992472066,0.8611111111111112
32862,11,1,20210912,5452,,[7.3669275929549904],[8.663772848863784],[1.296845255908794],1.296845255908794,0.9166666666666666
32863,11,1,20210912,5453,,[7.366430730423815],[9.271544204358754],[1.9051134739349393],1.9051134739349393,0.8611111111111112
32864,11,1,20210912,5454F,,[7.366430730423815],[10.086243437417778],[2.719812706993963],2.719812706993963,0.8611111111111112
32865,11,1,20210912,5455,,[7.353376685619677],[7.892256739798554],[0.5388800541788763],0.5388800541788763,0.9444444444444444
32866,11,1,20210912,5456,,[7.353376685619677],[8.738614398325124],[1.3852377127054467],1.3852377127054467,0.8888888888888888
32867,11,1,20210912,5451F,,[7.3755690440060695],[8.253051143753469],[0.8774820997473993],0.8774820997473993,0.9565217391304348
32868,11,1,20210912,5459F,,[7.3755690440060695],[10.028732530196626],[2.6531634861905564],2.6531634861905564,0.8478260869565217
32869,11,1,20210912,5460F,,[7.3755690440060695],[9.138667603542926],[1.7630985595368562],1.7630985595368562,0.9130434782608695
32870,11,1,20210912,5461F,,[7.3755690440060695],[7.9606050044817005],[0.585035960475631],0.585035960475631,0.9565217391304348
32871,11,1,20210912,5462F,,[7.3755690440060695],[9.501535329229048],[2.1259662852229786],2.1259662852229786,0.8913043478260869
32872,11,1,20210912,5468,,[7.3755690440060695],[7.951668564463589],[0.5760995204575199],0.5760995204575199,0.9782608695652174
32873,11,1,20210912,3481,0.3333333333333333,[91.02890173410404],[90.46993646790013],[-0.5589652662039128],-0.5589652662039128,0.9555555555555556
32874,11,1,20210912,5208,0.3333333333333333,[91.02887069150076],[91.19779573934869],[0.16892504784793516],0.16892504784793516,0.9111111111111111
32875,11,1,20210912,1046G,0.23529411764705882,[7.514925373134329],[8.16512373376739],[0.6501983606330608],0.6501983606330608,0.96
32876,11,1,20210912,5466,0.47058823529411764,[7.514925373134329],[10.007122101881073],[2.4921967287467446],2.4921967287467446,0.8133333333333334
32877,11,1,20210912,5467,0.6470588235294118,[7.514925373134329],[9.159426479593265],[1.6445011064589359],1.6445011064589359,0.88
32878,11,1,20210912,5475,0.7058823529411765,[7.514925373134329],[9.476213320210487],[1.9612879470761584],1.9612879470761584,0.8933333333333333
32879,11,1,20210912,5469,0.5882352941176471,[7.514925373134329],[10.143966731241987],[2.629041358107658],2.629041358107658,0.8266666666666667
32880,11,1,20210912,5470,0.7058823529411765,[7.514925373134329],[9.811470216859618],[2.2965448437252896],2.2965448437252896,0.84
32881,11,1,20210912,6361,0.5294117647058824,[7.514925373134329],[11.098472551620837],[3.5835471784865085],3.5835471784865085,0.8266666666666667
32882,11,1,20210912,2351F,0.0,[],[],[],,0.75
32883,11,1,20210912,7629,0.5,[7.53858024691358],[7.614192048075998],[0.0756118011624185],0.0756118011624185,1.1914893617021276
32884,11,0,20210912,7629,0.11764705882352941,[7.519955654101995],[7.317428654044453],[-0.20252700005754232],-0.20252700005754232,1.1914893617021276
32885,12,0,20210907,0470F,0.4027777777777778,"[3.0672514619883042, 3.0525114155251143]","[3.4036069881034057, 4.333839395346472]","[0.33635552611510144, 1.281327979821358]",0.8661128107686089,1.2313432835820894
32885,12,0,20210908,0470F,0.4305555555555556,"[3.0672514619883042, 3.0525114155251143]","[4.580832575914814, 4.109480102837666]","[1.5135811139265094, 1.0569686873125517]",1.2576014202186847,1.3432835820895523
32885,12,0,20210909,0470F,0.3611111111111111,"[3.0672514619883042, 3.0525114155251143]","[3.374459708329748, 4.301674012090021]","[0.30720824634144384, 1.2491625965649065]",0.8352735638909607,1.3880597014925373
32885,12,0,20210910,0470F,0.3472222222222222,"[3.0672514619883042, 3.0525114155251143]","[4.329466955142138, 3.372294348597276]","[1.2622154931538336, 0.31978293307216177]",0.733882088259563,1.4253731343283582
32885,12,0,20210913,0470F,0.3472222222222222,"[3.0672514619883042, 3.0525114155251143]","[4.524230270474553, 3.411668704083436]","[1.456978808486249, 0.35915728855832185]",0.841533410950896,1.455223880597015
32885,12,0,20210914,0470F,0.3888888888888889,"[3.0672514619883042, 3.0525114155251143]","[4.071521665041577, 3.1040444944624683]","[1.0042702030532729, 0.05153307893735404]",0.47015999710950024,1.373134328358209
32885,12,0,20210915,0470F,0.4722222222222222,"[3.0672514619883042, 3.0525114155251143]","[4.165403153456704, 2.9918597818291897]","[1.0981516914683995, -0.060651633695924634]",0.44851952433082387,1.3656716417910448
32885,12,0,20210916,0470F,0.4444444444444444,"[3.0672514619883042, 3.0525114155251143]","[3.069629919791277, 3.9516030985743877]","[0.0023784578029726333, 0.8990916830492734]",0.5050813265016564,1.335820895522388
32885,12,0,20210917,0470F,0.3194444444444444,"[3.0672514619883042, 3.0525114155251143]","[3.617869717757346, 3.1958675417389046]","[0.5506182557690416, 0.14335612621379035]",0.32230463768503714,1.4477611940298507
32886,12,0,20210907,6864F,0.6111111111111112,"[3.0672514619883042, 3.0525114155251143]","[3.724060674979531, 4.89839848394677]","[0.6568092129912269, 1.8458870684216557]",1.3234134652779823,0.8059701492537313
32886,12,0,20210908,6864F,0.7222222222222222,"[3.0672514619883042, 3.0525114155251143]","[5.151443443452738, 5.423214619057486]","[2.084191981464434, 2.3707032035323716]",2.2448119089873684,0.8059701492537313
32886,12,0,20210909,6864F,0.625,"[3.0672514619883042, 3.0525114155251143]","[4.65353152629035, 6.299449804139815]","[1.5862800643020458, 3.246938388614701]",2.5172551855076253,0.8134328358208955
32886,12,0,20210910,6864F,0.6111111111111112,"[3.0672514619883042, 3.0525114155251143]","[4.634491404824948, 4.327006430141613]","[1.5672399428366441, 1.2744950146164986]",1.4031253618647443,0.7761194029850746
32886,12,0,20210913,6864F,0.625,"[3.0672514619883042, 3.0525114155251143]","[5.3418822151570104, 3.841570353952545]","[2.274630753168706, 0.7890589384274307]",1.441810190359203,0.8283582089552238
32886,12,0,20210914,6864F,0.5833333333333334,"[3.0672514619883042, 3.0525114155251143]","[4.099958086461028, 3.9792453709780804]","[1.0327066244727234, 0.9267339554529661]",0.9732977039616473,0.8283582089552238
32886,12,0,20210915,6864F,0.6944444444444444,"[3.0672514619883042, 3.0525114155251143]","[4.5835341046835785, 3.9302234201837076]","[1.5162826426952742, 0.8777120046585933]",1.158296072886832,0.7985074626865671
32886,12,0,20210916,6864F,0.6666666666666666,"[3.0672514619883042, 3.0525114155251143]","[3.474817359945928, 5.727847428051371]","[0.40756589795762377, 2.6753360125262566]",1.6788915682460996,0.8507462686567164
32886,12,0,20210917,6864F,0.5694444444444444,"[3.0672514619883042, 3.0525114155251143]","[4.993564764320739, 4.543013088630283]","[1.926313302332435, 1.4905016731051686]",1.681994661705028,0.753731343283582
32887,12,0,20210907,6865F,0.5138888888888888,"[3.0672514619883042, 3.0525114155251143]","[3.32887035919827, 4.467037312662515]","[0.2616188972099658, 1.4145258971374006]",0.9079455486844368,0.8656716417910447
32887,12,0,20210908,6865F,0.6111111111111112,"[3.0672514619883042, 3.0525114155251143]","[6.028758256593221, 4.298520095757619]","[2.961506794604917, 1.2460086802325043]",1.9997881547294738,0.8656716417910447
32887,12,0,20210909,6865F,0.5833333333333334,"[3.0672514619883042, 3.0525114155251143]","[3.2069166324729377, 4.381614368813479]","[0.13966517048463345, 1.329102953288365]",0.8064712002382405,0.8880597014925373
